arena_r,interac_r,pi1,pi2,q1,q2,lambda,f0,f1,f2,sdf0,sdf1,sdf2,Q,sdQ,m,sdm,k0,k1,k2,sdk0,sdk1,sdk2
20,7,0.3,0.3,7,8,0.0,0.1816625844,0.3829372657,0.43540015,0.0704502416,0.0889016497,0.0905667277,-0.3304743814,0.2492018126,0.2181407148,0.0959799024,1.0011166542,0.1872703253,0.1643372922,0.7315634582,0.1383899881,0.125017324
20,7,0.3,0.3,7,8,0.05,0.1797185704,0.3816594185,0.4386220112,0.0705844546,0.0909583455,0.0928059067,-0.3246968258,0.2559589854,0.2229495126,0.0985421131,1.0047592102,0.1917376608,0.1684164796,0.7315052763,0.141377615,0.1281707705
20,7,0.3,0.3,7,8,0.1,0.1773300008,0.3795834375,0.4430865617,0.0706566432,0.0944872421,0.0968406228,-0.3160803133,0.2677996074,0.2308485379,0.1024995891,1.0090464051,0.1991610827,0.176263568,0.7310943177,0.1469994251,0.1338220928
20,7,0.3,0.3,7,8,0.15,0.1751880363,0.378575856,0.4462361076,0.0706401172,0.0968900577,0.0993094495,-0.3109156044,0.2755596988,0.2362534366,0.1050334554,1.0122234775,0.2046856937,0.1813661265,0.7312529113,0.1502326534,0.1373757939
20,7,0.3,0.3,7,8,0.2,0.1732378572,0.3777032409,0.4490589019,0.0705694479,0.0994254215,0.1021319856,-0.3063475798,0.2839810208,0.2418325419,0.1076618697,1.0160843789,0.2101981647,0.1872766005,0.7300664555,0.1540811316,0.1413488639
20,7,0.3,0.3,7,8,0.25,0.1710702324,0.3772433558,0.4516864117,0.0706751529,0.1022403658,0.104977049,-0.3028002999,0.2928978361,0.2475626093,0.1105565555,1.0239018912,0.2158016052,0.1928875985,0.7311990502,0.1589820088,0.1459162946
20,7,0.3,0.3,7,8,0.3,0.1697282346,0.3730015829,0.4572701825,0.0710756668,0.1049393484,0.1080108826,-0.2887329834,0.3016109291,0.2544531367,0.113945738,1.0335469466,0.2227906119,0.2003103024,0.7361301185,0.1625890522,0.1509398493
20,7,0.3,0.3,7,8,0.35,0.1683295843,0.3719691744,0.4597012414,0.0708213879,0.1094783946,0.1129127493,-0.2842371074,0.316432682,0.2616663334,0.1186976321,1.0339036574,0.232225396,0.2097823385,0.7355646047,0.1701479996,0.1583855652
20,7,0.3,0.3,7,8,0.4,0.1667564775,0.3700943098,0.4631492127,0.0709456384,0.1132967606,0.116966822,-0.2770394068,0.3286245287,0.2688765309,0.1224161083,1.0414465717,0.2409759068,0.2186880568,0.7380850591,0.1758462245,0.1643537412
20,7,0.3,0.3,7,8,0.45,0.1650802299,0.366659835,0.468259935,0.0711741178,0.1154853726,0.1190285074,-0.2650597351,0.3352507635,0.2751442139,0.1250457969,1.0501046738,0.2466687693,0.2249675232,0.743794674,0.1794818002,0.1682670374
