pi2,lambda
0.0,0.7557514695469179
0.0,0.7547378110498434
0.0,0.7537156758581312
0.0,0.7526849567665853
0.0,0.7516455447512015
0.01,0.7505973289151446
0.01,0.7495401964743413
0.01,0.7484740326926514
0.01,0.7473987208386494
0.01,0.7463141421640139
0.02,0.7349310094424693
0.03,0.722473604825038
0.04,0.7087813620079509
0.05,0.6936597614554666
0.06,0.6768707482988581
0.07,0.6581196581213944
0.08,0.6370370370373173
0.09,0.6131528046416437
0.1,0.5858585858584632
0.11,0.5543510990663016
0.12,0.5175438596495331
0.13,0.4739229024952296
0.14,0.42129629629546
0.15,0.3563218390792803
0.16,0.2735042735049458
0.17,0.16264090177008986
0.17099999999999999,0.1493240164069966
0.172,0.13548752834627853
0.173,0.12109193155105683
0.174,0.10609268407383597
0.175,0.09043927648490972
0.176,0.0740740740735276
0.177,0.056930864711983595
0.178,0.03893301951539542
0.179,0.019991138217111175
0.18,
0.19,
0.2,
0.21,
0.22,
0.23,
0.24,
0.25,
0.26,
0.27,
0.28,
0.29,
0.3,
0.31,
0.32,
0.33,
0.34,
0.35,
0.36,
0.37,
0.38,
0.39,
0.4,
0.41,
0.42,
0.43,
0.44,
0.45,
0.46,
0.47,
0.48,
0.49,
0.5,
