pi2,lambda
0.0,0.18101098376477942
0.0,0.17941748933805204
0.0,0.17781751495758943
0.0,0.17621101929144137
0.0,0.17459796062948954
0.01,0.1729782968978542
0.01,0.17135198564448773
0.01,0.1697189840391746
0.01,0.16807924886632825
0.01,0.16643273652499085
0.02,0.14958498908945145
0.03,0.1320084937123011
0.04,0.11365246010754046
0.05,0.09446103090671398
0.06,0.0743726061862173
0.07,0.053319053319691626
0.08,0.031224778046401554
0.09,0.008005626829910436
0.09100000000000001,0.005618317202958845
0.09214285714285715,0.002874921446393154
0.09328571428571429,0.0001153362969474559
0.09442857142857143,
0.09557142857142858,
0.09671428571428572,
0.09785714285714286,
0.099,
0.1,
0.11,
0.12,
0.13,
0.14,
0.15,
0.16,
0.17,
0.18,
0.19,
0.2,
0.21,
0.22,
0.23,
0.24,
0.25,
0.26,
0.27,
0.28,
0.29,
0.3,
0.31,
0.32,
0.33,
0.34,
0.35,
0.36,
0.37,
0.38,
0.39,
0.4,
0.41,
0.42,
0.43,
0.44,
0.45,
0.46,
0.47,
0.48,
0.49,
0.5,
