pi,lambda
0.01,0.012401285168774714
0.02,0.016917742705420315
0.03,0.021393079233780744
0.04,0.02582785380125886
0.05,0.030222615363577083
0.06,0.034577903018881334
0.07,0.03889424622383695
0.08,0.04317216500972462
0.09,0.04741217018412997
0.1,0.05161476355424269
0.11,0.055780438088928436
0.12,0.05990967815643442
0.13,0.06400295967565658
0.14,0.06806075031062593
0.15,0.07208350966139317
0.16,0.07607168942249927
0.17,0.08002573354504725
0.18,0.08394607843118859
0.19,0.08783315306378085
0.2,0.09168737917566268
0.21,0.0955091714117259
0.22,0.0992989374513698
0.23,0.10305707818497964
0.24,0.10678398783277912
0.25,0.11048005408889462
0.26,0.11414565826181747
0.27,0.11778117539685824
0.28,0.12138697440940605
0.29,0.1249634182037812
0.3,0.12851086380649437
0.31,0.13202966247069317
0.32,0.13552015980581925
0.33,0.13898269588205536
0.34,0.14241760533837255
0.35,0.14582521750498523
0.36,0.14920585648618734
0.37,0.15255984128280722
0.38,0.15588748588584897
0.39,0.15918909937013387
0.4,0.16246498599514556
0.41,0.16571544529867102
0.42,0.16894077218684128
0.43,0.17214125701696759
0.44,0.17531718569838642
0.45,0.1784688397644915
0.46,0.18159649646637513
0.47,0.18470042884486065
0.48,0.18778090581333878
0.49,0.19083819224060453
0.5,0.1938725490192877
