pi1,pi2
0.01,
0.011,
0.012,
0.013,
0.014,
0.015,0.0008022548677782314
0.016,0.002586262688822833
0.017,0.004370501303934148
0.018,0.006154965397152029
0.019,0.00793964982539307
0.02,0.009724549611247435
0.03,0.027584401914889523
0.04,0.045461311344663184
0.05,0.06335220187929295
0.06,0.08125472180067561
0.07,0.09916703638223907
0.08,0.11708768947228891
0.09,0.13501550820650307
0.1,0.15294953569404637
0.11,0.17088898239598338
0.12,0.18883319030737675
0.13,0.20678160611817076
0.14,0.22473376079932847
0.15,0.24268925386744525
0.16,0.26064774108889016
0.17,0.27860892478790295
0.18,0.29657254611756184
0.19,0.31453837882541663
0.2,0.33250622422925735
0.21,0.3504759070716743
0.22,0.3684472721345544
0.23,0.38642018141542805
0.24,0.4043945117828283
0.25,0.4223701529990121
0.26,0.4403470060668273
0.27,0.45832498180708053
0.28,0.4763039996664083
0.29,0.4942839866980239
0.3,0.5122648766541151
0.31,0.5302466092547193
0.32,0.5482291295034191
0.33,0.5662123871290954
0.34,0.5841963360781023
0.35,0.6021809340856743
0.36,0.6201661422869568
0.37,0.6381519248784543
0.38,0.6561382488190969
0.39,0.6741250835745283
0.4,0.6921124008757978
0.41,0.710100174517671
0.42,0.7280883801605418
0.43,0.7460769951899696
0.44,0.7640659985329991
0.45,0.7820553705573133
0.46,0.800045092941579
0.47,0.8180351485493871
0.48,0.8360255213644274
0.49,0.8540161963788365
0.5,0.8720071595211668
0.51,0.8899983975843553
0.52,0.9079898981572916
0.53,0.9259816495707945
0.54,0.9439736408399872
0.55,0.961965861610273
0.56,0.9799583021249192
0.57,
0.58,
0.59,
0.6,
0.61,
0.62,
0.63,
0.64,
0.65,
0.66,
0.67,
0.68,
0.69,
0.7,
0.71,
0.72,
0.73,
0.74,
0.75,
0.76,
0.77,
0.78,
0.79,
0.8,
0.81,
0.82,
0.83,
0.84,
0.85,
0.86,
0.87,
0.88,
0.89,
0.9,
0.91,
0.92,
0.93,
0.94,
0.95,
0.96,
0.97,
0.98,
0.99,
