pi2,lambda
0.0,0.3615342231244527
0.0,0.36025838426394347
0.0,0.3589773289446589
0.0,0.3576910243560318
0.0,0.35639943741377367
0.01,0.35510253473106124
0.01,0.353800282654554
0.01,0.3524926472247741
0.01,0.3511795941869137
0.01,0.3498610889908332
0.02,0.33636834702706764
0.03,0.3222900319664923
0.04,0.30758609486719257
0.05,0.29221263449533347
0.06,0.2761214074680762
0.07,0.2592592592585582
0.08,0.24156746031674833
0.09,0.22298092771347594
0.1,0.20342730790320104
0.11,0.18282588985507225
0.12,0.16108630952534497
0.13,0.13810699588625788
0.14,0.1137732941003699
0.15,0.08795518207436788
0.16,0.060504469988928965
0.17,0.031251335985453196
0.17099999999999999,0.028219603771210168
0.172,0.025167703758575945
0.173,0.022095421234623432
0.174,0.019002538244986412
0.175,0.015888833525429177
0.176,0.012754082447822541
0.177,0.009598056937307035
0.178,0.006420525407464164
0.179,0.0032212527026908044
0.18,
0.19,
0.2,
0.21,
0.22,
0.23,
0.24,
0.25,
0.26,
0.27,
0.28,
0.29,
0.3,
0.31,
0.32,
0.33,
0.34,
0.35,
0.36,
0.37,
0.38,
0.39,
0.4,
0.41,
0.42,
0.43,
0.44,
0.45,
0.46,
0.47,
0.48,
0.49,
0.5,
