pi2,lambda
0.0,0.6849699880623822
0.0,0.6844544227320462
0.0,0.683937166728294
0.0,0.683418211702619
0.0,0.6828975492632956
0.01,0.6823751709753791
0.01,0.6818510683354941
0.01,0.6813252327934441
0.01,0.6807976557414082
0.01,0.6802683285031337
0.02,0.6748768472897593
0.03,0.669300369568225
0.04,0.6635292047861717
0.05,0.6575529733441199
0.06,0.6513605442193782
0.07,0.6449399656928863
0.08,0.6382783882785976
0.09,0.6313619787533125
0.1,0.6241758241740617
0.11,0.6167038243883862
0.12,0.6089285714275889
0.13,0.6008312139461501
0.14,0.5923913043482563
0.15,0.5835866261415475
0.16,0.5743929983054641
0.17,0.5647840531554222
0.18,0.5547309833016713
0.19,0.5442022526533867
0.2,0.533163265305663
0.21,0.5215759849909627
0.22,0.5093984962422804
0.23,0.4965844965856919
0.24,0.48308270676770837
0.25,0.4688361831235863
0.26,0.4537815126055405
0.27,0.4378478664193818
0.28,0.42095588235470044
0.29,0.40301633849962976
0.3,0.38392857142936127
0.31,0.36357857937359894
0.32,0.34183673469335757
0.33,0.318555008211435
0.34,0.2935635792793686
0.35,0.266666666667256
0.36,0.23763736263901472
0.37,0.20621118012589157
0.38,0.17207792207705996
0.39,0.13487133983900285
0.4,0.09415584415553353
0.41,0.049409237380535785
0.411,0.044689646194499666
0.412,0.039922843112778765
0.413,0.03510811439208919
0.414,0.030244731778304525
0.415,0.025331952160702487
0.416,0.020369017172187285
0.417,0.015355152800317039
0.418,0.010289568987526204
0.419,0.005171459198933745
0.42,
0.43,
0.44,
0.45,
0.46,
0.47,
0.48,
0.49,
0.5,
