pi2,lambda
0.0,0.20428276913109866
0.0,0.20280144187054946
0.0,0.2013144112402486
0.0,0.19982164300339592
0.0,0.1983231026530712
0.01,0.19681875537981988
0.01,0.19530856608966116
0.01,0.19379249939688473
0.01,0.19227051961324584
0.01,0.1907425907443639
0.02,0.17512796261293362
0.03,0.1588764665686959
0.04,0.14194657417607806
0.05,0.12429288502845062
0.06,0.10586564170998237
0.07,0.08661016651635879
0.08,0.06646620424939946
0.09,0.045367151539696914
0.1,0.023239148238817668
0.101,0.020966669844822317
0.10214285714285715,0.01835584368259563
0.10328571428571429,0.015730269465806607
0.10442857142857143,0.013089813888470768
0.10557142857142858,0.010434341923039306
0.10671428571428572,0.007763716798789492
0.10785714285714286,0.005077799969410274
0.109,0.0023764510949942906
0.11,
0.12,
0.13,
0.14,
0.15,
0.16,
0.17,
0.18,
0.19,
0.2,
0.21,
0.22,
0.23,
0.24,
0.25,
0.26,
0.27,
0.28,
0.29,
0.3,
0.31,
0.32,
0.33,
0.34,
0.35,
0.36,
0.37,
0.38,
0.39,
0.4,
0.41,
0.42,
0.43,
0.44,
0.45,
0.46,
0.47,
0.48,
0.49,
0.5,
