pi,lambda
0.01,0.05556890063406134
0.02,0.08587150274957285
0.03,0.1142900052578242
0.04,0.14099482921904566
0.05,0.16613644397300936
0.06,0.1898482038592613
0.07,0.21224871435242534
0.08,0.2334438162083138
0.09,0.25352825770435977
0.1,0.2725871106983115
0.11,0.2906969751650157
0.12,0.3079270081552497
0.13,0.32433980638196713
0.14,0.3399921660784557
0.15,0.3549357396778864
0.16,0.36921760521891456
0.17,0.3828807617852432
0.18,0.3959645618883902
0.19,0.4085050900137519
0.2,0.4205354949653572
0.21,0.43208628244176256
0.22,0.4431855733355316
0.23,0.4538593323159191
0.24,0.4641315705772866
0.25,0.47402452619997815
0.26,0.48355882481765206
0.27,0.492753623187823
0.28,0.5016267376500942
0.29,0.5101947593521144
0.3,0.5184731577883472
0.31,0.5264763740022497
0.32,0.5342179046728049
0.33,0.5417103780542382
0.34,0.5489656227305405
0.35,0.5559947299087266
0.36,0.5628081100107599
0.37,0.5694155441187929
0.38,0.5758262308067597
0.39,0.5820488288877528
0.4,0.5880914964193442
0.41,0.5939619263990287
0.42,0.5996673794235274
0.43,0.6052147136576922
0.44,0.6106104123327128
0.45,0.6158606090221407
0.46,0.6209711108974126
0.47,0.6259474201645682
0.48,0.6307947538118187
0.49,0.6355180618660501
0.5,0.6401220442411052
