pi1,pi2
0.01,
0.02,
0.03,
0.04,
0.05,
0.06,
0.07,
0.08,
0.09,
0.1,
0.11,
0.12,
0.13,
0.14,
0.15,
0.16,
0.17,
0.18,
0.19,
0.2,
0.201,
0.202,
0.203,
0.204,
0.205,
0.206,0.0008884230666740159
0.207,0.0022704583517033834
0.208,0.003652546778326273
0.209,0.005034688112438744
0.21,0.006416882116335265
0.22,0.020241666831464573
0.23,0.03407146402520732
0.24,0.0479060560457316
0.25,0.06174523795485005
0.26,0.07558881660961207
0.27,0.08943660979792017
0.28,0.10328844546058441
0.29,0.11714416098540907
0.3,0.13100360254810006
0.31,0.14486662452520435
0.32,0.1587330889286586
0.33,0.17260286491597215
0.34,0.18647582831841725
0.35,0.2003518612232435
0.36,0.2142308515558928
0.37,0.22811269274505006
0.38,0.2419972833624838
0.39,0.25588452681691
0.4,0.2697743310730671
0.41,0.28366660836719043
0.42,0.297561274969306
0.43,0.3114582509491266
0.44,0.32535745995635484
0.45,0.3392588290153912
0.46,0.3531622883560598
0.47,0.36706777121191775
0.48,0.38097521368339526
0.49,0.3948845545577156
0.5,0.4087957351900418
0.51,0.42270869936301486
0.52,0.43662339314268955
0.53,0.45053976478849417
0.54,0.46445776462717514
0.55,0.47837734495195183
0.56,0.49229845992167215
0.57,0.5062210654743734
0.58,0.5201451192372434
0.59,0.534070580454587
0.6,0.5479974098941872
0.61,0.5619255697932771
0.62,0.5758550237721061
0.63,0.5897857367835136
0.64,0.603717675058907
0.65,0.6176508060218237
0.66,0.6315850982591167
0.67,0.6455205214741347
0.68,0.6594570464074883
0.69,0.6733946448190389
0.7,0.6873332894374787
0.71,0.7012729539099078
0.72,0.7152136127766229
0.73,0.7291552414206943
0.74,0.743097816042756
0.75,0.7570413136141839
0.76,0.7709857118698928
0.77,0.7849309892435078
0.78,0.7988771248745674
0.79,0.812824098547296
0.8,0.8267718906942066
0.81,0.8407204823492787
0.82,0.8546698551371538
0.83,0.8686199912443232
0.84,0.8825708733939166
0.85,0.8965224848421002
0.86,0.9104748093348571
0.87,0.9244278311079892
0.88,0.9383815348619035
0.89,0.9523359057364021
0.9,0.9662909293142848
0.91,0.9802465915889326
0.92,
0.93,
0.94,
0.95,
0.96,
0.97,
0.98,
0.99,
