pi1,pi2
0.01,
0.02,
0.03,
0.04,
0.041,
0.042,0.00022261553861102463
0.043,0.0008950997685603866
0.044,0.0015743322389574264
0.045,0.0022600582447195455
0.046,0.0029520376276225796
0.047,0.003650043630992316
0.048,0.004353861898459959
0.049,0.005063289577163982
0.05,0.005778134474975952
0.06,0.013188542519880156
0.07,0.020986112259561568
0.08,0.029078788685130003
0.09,0.037403893521820476
0.1,0.04591670002769349
0.11,0.05458411949860325
0.12,0.06338096210250294
0.13,0.07228759910673287
0.14,0.08128843615659491
0.15,0.09037087982172524
0.16,0.09952461662800284
0.17,0.10874109713569324
0.18,0.11801315846305845
0.19,0.1273347427817763
0.2,0.1367006838141505
0.21,0.14610654245973298
0.22,0.15554847855678933
0.23,0.16502314963774864
0.24,0.1745276300913136
0.25,0.18405934604194882
0.26,0.19361602237756217
0.27,0.20319563929261117
0.28,0.21279639642698167
0.29,0.22241668300152845
0.3,0.23205505282297847
0.31,0.24171020324699055
0.32,0.2513809573394359
0.33,0.2610662486956577
0.34,0.2707651084531057
0.35,0.2804766541479884
0.36,0.29020008006298764
0.37,0.29993464889676014
0.38,0.30967968449230965
0.39,0.3194345655017734
0.4,0.3291987198471631
0.41,0.3389716198149875
0.42,0.34875277779195857
0.43,0.35854174242568737
0.44,0.3683380952751966
0.45,0.3781414478251955
0.46,0.38795143878127836
0.47,0.39776773172888563
0.48,0.40759001296514136
0.49,0.4174179895936066
0.5,0.4272513878171229
0.51,0.4370899513603099
0.52,0.44693344008655345
0.53,0.4567816287266398
0.54,0.46663430573344694
0.55,0.47649127222667725
0.56,0.48635234107084757
0.57,0.49621733598209217
0.58,0.5060860907682256
0.59,0.5159584485904158
0.6,0.5258342613220985
0.61,0.5357133889331033
0.62,0.5455956989494155
0.63,0.5554810659273411
0.64,0.5653693710141127
0.65,0.575260501494087
0.66,0.5851543503997735
0.67,0.5950508161588767
0.68,0.604949802234136
0.69,0.6148512168279965
0.7,0.624754972594478
0.71,0.6346609863546516
0.72,0.6445691788589321
0.73,0.654479474560179
0.74,0.6643918013903952
0.75,0.6743060905662438
0.76,0.6842222763945575
0.77,0.6941402961138725
0.78,0.7040600897107444
0.79,0.7139815997936922
0.8,0.7239047714311282
0.81,0.7338295520289018
0.82,0.7437558912078459
0.83,0.7536837406849242
0.84,0.763613054161581
0.85,0.7735437872228977
0.86,0.7834758972511525
0.87,0.7934093433213762
0.88,0.8033440861329203
0.89,0.8132800879158154
0.9,0.823217312358741
0.91,0.8331557245441938
0.92,0.8430952908872635
0.93,0.8530359790527942
0.94,0.8629777579157664
0.95,0.8729205974964707
0.96,0.8828644689136841
0.97,0.8928093443198432
0.98,0.9027551968794337
0.99,0.9127020007041619
