pi2,lambda
0.0,0.5928906668697561
0.0,0.5920276817430383
0.0,0.5911610212241393
0.0,0.5902906617189841
0.0,0.5894165794246049
0.01,0.5885387503327429
0.01,0.5876571502334491
0.01,0.5867717547078821
0.01,0.5858825391139015
0.01,0.5849894786076776
0.02,0.5758417783586784
0.03,0.5662805662809103
0.04,0.5562770562772767
0.05,0.5457997152354742
0.06,0.5348139255689727
0.07,0.5232815964532115
0.08,0.5111607142848159
0.09,0.4984048209863772
0.1,0.48496240601331947
0.11,0.4707761949156391
0.12,0.45578231292415794
0.13,0.43990929705352205
0.14,0.42307692307580824
0.15,0.40519480519361367
0.16,0.38616071428419985
0.17,0.3658585453803046
0.18,0.3441558441567655
0.19,0.3209007741032214
0.2,0.2959183673459719
0.21,0.2690058479536446
0.22,0.2399267399264904
0.23,0.208403361345177
0.24,0.17410714285844237
0.25,0.13664596273217738
0.26,0.09554730983141735
0.27,0.05023547880678228
0.271,0.045446597465673935
0.272,0.040607829670644774
0.273,0.035718361291041424
0.274,0.03077735948590359
0.275,0.025783972124106685
0.276,0.02073732719009789
0.277,0.015636532157218008
0.278,0.010480673361023183
0.279,0.005268815307777911
0.28,
0.29,
0.3,
0.31,
0.32,
0.33,
0.34,
0.35,
0.36,
0.37,
0.38,
0.39,
0.4,
0.41,
0.42,
0.43,
0.44,
0.45,
0.46,
0.47,
0.48,
0.49,
0.5,
