pi1,pi2
0.01,
0.02,
0.03,
0.04,
0.05,
0.06,
0.07,
0.08,
0.09,
0.1,
0.11,
0.12,
0.13,
0.14,
0.141,
0.142,
0.143,8.792612592642177e-05
0.144,0.0007041912752292355
0.145,0.0013218131468823774
0.146,0.0019407748169720592
0.147,0.0025610596713220067
0.148,0.003182651394688666
0.149,0.0038055339743628003
0.15,0.004429691671356698
0.16,0.010738130850421445
0.17,0.017158664900767225
0.18,0.02367938487952532
0.19,0.030290138293246022
0.2,0.0369821993174845
0.21,0.043748013479446346
0.22,0.05058099733344857
0.23,0.05747537945752615
0.24,0.06442607282716914
0.25,0.07142857142782137
0.26,0.0784788657181481
0.27,0.08557337296070475
0.28,0.09270887939106137
0.29,0.09988249183752307
0.3,0.10709159701945954
0.31,0.1143338271232215
0.32,0.12160703047071846
0.33,0.1289092464486878
0.34,0.1362386839459216
0.35,0.1435937027438043
0.36,0.15097279738114944
0.37,0.15837458309715824
0.38,0.1657977835571704
0.39,0.17324122009468798
0.4,0.1807038022175601
0.41,0.18818451928108612
0.42,0.1956824330435104
0.43,0.2031966711399252
0.44,0.21072642119005422
0.45,0.21827092561195022
0.46,0.22582947691830685
0.47,0.2334014135530098
0.48,0.2409861161022553
0.49,0.24858300391985097
0.5,0.2561915320478493
0.51,0.2638111884505196
0.52,0.2714414915148376
0.53,0.27908198775266635
0.54,0.28673224973703876
0.55,0.2943918742185228
0.56,0.3020604803928507
0.57,0.3097377083198181
0.58,0.3174232175006524
0.59,0.32511668554542034
0.6,0.3328178069520871
0.61,0.3405262920080274
0.62,0.3482418657491642
0.63,0.3559642670199511
0.64,0.36369324760898847
0.65,0.37142857142785907
0.66,0.37917001377280013
0.67,0.3869173606331965
0.68,0.3946704080576986
0.69,0.4024289615455533
0.7,0.4101928355135664
0.71,0.4179618527702691
0.72,0.42573584404410947
0.73,0.4335146475296499
0.74,0.44129810849859474
0.75,0.4490860788748021
0.76,0.4568784169065379
0.77,0.4646749868099173
0.78,0.47247565846276957
0.79,0.48028030709850134
0.8,0.48808881304678203
0.81,0.49590106144181434
0.82,0.5037169420206442
0.83,0.5115363488530411
0.84,0.5193591801578169
0.85,0.5271853380795265
0.86,0.5350147285083869
0.87,0.5428472608965981
0.88,0.5506828480926662
0.89,0.558521406175733
0.9,0.5663628543115099
0.91,0.5742071146118167
0.92,0.5820541119869151
0.93,0.5899037740410634
0.94,0.5977560309212488
0.95,0.6056108152415535
0.96,0.6134680619462944
0.97,0.6213277082163817
0.98,0.6291896933828796
0.99,0.6370539588153579
