pi2,lambda
0.0,0.4363865522973585
0.0,0.4352686563755101
0.0,0.4341462852868008
0.0,0.433019411878776
0.0,0.43188800875767336
0.01,0.4261620732198578
0.01,0.4284663439224322
0.01,0.4273165435958369
0.01,0.43075204832443975
0.01,0.4296115027315115
0.02,0.41435406698604504
0.03,0.4020458306163338
0.04,0.38920454545447264
0.05,0.3757944183484093
0.06,0.3617763310850493
0.07,0.3471074380160106
0.08,0.3317407024778071
0.09,0.31562436063620897
0.1,0.29870129870134127
0.11,0.28090832632309043
0.12,0.2621753246760758
0.13,0.24242424242388289
0.14,0.22156790577956
0.15,0.19950859950802022
0.16,0.1761363636362231
0.17,0.15132693393640193
0.18,0.12493923189247215
0.19,0.0968122786302947
0.2,0.06676136363748493
0.21,0.03457323661071441
0.211,0.031227672003245024
0.212,0.027858022055295077
0.213,0.024464013401897446
0.214,0.021045368294939016
0.215,0.017601804487909496
0.216,0.01413303515666623
0.217,0.010638768794987846
0.218,0.007118709106526282
0.219,0.0035725549039619985
0.22,
0.23,
0.24,
0.25,
0.26,
0.27,
0.28,
0.29,
0.3,
0.31,
0.32,
0.33,
0.34,
0.35,
0.36,
0.37,
0.38,
0.39,
0.4,
0.41,
0.42,
0.43,
0.44,
0.45,
0.46,
0.47,
0.48,
0.49,
0.5,
