pi2,lambda
0.0,0.6033178681859913
0.0,0.6024654053288943
0.0,0.6016092541930952
0.0,0.600749390665888
0.0,0.5998857904256754
0.01,0.5990184289347629
0.01,0.5981472814429614
0.01,0.5972723229731828
0.01,0.5963935283322414
0.01,0.5955108721072545
0.02,0.5864661654131824
0.03,0.5770055770057733
0.04,0.5670995670993108
0.05,0.5567157095398044
0.06,0.5458183273303726
0.07,0.5343680709524261
0.08,0.5223214285698133
0.09,0.5096301547900024
0.1,0.49624060150499444
0.11,0.48209293036928014
0.12,0.4671201814047272
0.13,0.4512471655340913
0.14,0.4343891402730579
0.15,0.41645021645126634
0.16,0.39732142857279895
0.17,0.37687838108478383
0.18,0.3549783549787996
0.19,0.3314567206198617
0.2,0.30612244897992485
0.21,0.2787524366487309
0.22,0.24908424908359614
0.23,0.21680672269057344
0.24,0.1815476190472401
0.25,0.14285714285828832
0.26,0.1001855287582333
0.27,0.052851909993497745
0.271,0.047830993975275286
0.272,0.04275412087832849
0.273,0.037620297464484774
0.274,0.03242850538162165
0.275,0.027177700349705226
0.276,0.02186681124238257
0.277,0.016494739190183485
0.278,0.011060356622495215
0.279,0.005562506241106695
0.28,
0.29,
0.3,
0.31,
0.32,
0.33,
0.34,
0.35,
0.36,
0.37,
0.38,
0.39,
0.4,
0.41,
0.42,
0.43,
0.44,
0.45,
0.46,
0.47,
0.48,
0.49,
0.5,
