pi,lambda
0.01,0.10226801681813692
0.02,0.16584131176259007
0.03,0.22100611479380483
0.04,0.26932716406265095
0.05,0.312003630586259
0.06,0.3499699854224881
0.07,0.38396521597781186
0.08,0.4145814025344652
0.09,0.4422984953842103
0.1,0.46750965929143484
0.11,0.49054004099704884
0.12,0.511660868444983
0.13,0.5311001824883954
0.14,0.5490511035750683
0.15,0.565678269587648
0.16,0.58112290008804
0.17,0.5955068171497561
0.18,0.6089356652738768
0.19,0.6215015104973881
0.2,0.633284954038388
0.21,0.644356863019282
0.22,0.6547797968764737
0.23,0.6646091900606539
0.24,0.6738943383238867
0.25,0.6826792255350953
0.26,0.6910032204165937
0.27,0.6989016663671556
0.28,0.7064063831431453
0.29,0.7135460952687243
0.3,0.7203467994817839
0.31,0.7268320810119693
0.32,0.7330233868700091
0.33,0.7389402627825103
0.34,0.7446005593186732
0.35,0.7500206117577477
0.36,0.7552153975329342
0.37,0.7601986744499503
0.38,0.7649831023454414
0.39,0.7695803504938705
0.4,0.774001192606892
0.41,0.7782555911467866
0.42,0.7823527722757366
0.43,0.7863012926222683
0.44,0.7901090989633487
0.45,0.7937835815820763
0.46,0.7973316221509393
0.47,0.8007596367421113
0.48,0.8040736145590464
0.49,0.8072791528431782
0.5,0.8103814884311292
