pi2,lambda
0.0,0.4046250144585726
0.0,0.40358622826423757
0.0,0.40254400234835325
0.0,0.40149832019038517
0.0,0.4004491651617505
0.01,0.39621748009526214
0.01,0.3972806949921218
0.01,0.3951507076073221
0.01,0.3993965205258186
0.01,0.3983403694523174
0.02,0.38428346195415714
0.03,0.37304075235131723
0.04,0.36140350877139377
0.05,0.3493513818377792
0.06,0.3368626358319658
0.07,0.3239140309356632
0.08,0.3104806934579834
0.09,0.29653597259264397
0.1,0.28205128205205804
0.11,0.26699592475590006
0.12,0.25133689839518153
0.13,0.23503867943355303
0.14,0.2180629827689997
0.15,0.20036849378207794
0.16,0.18191056910426398
0.17,0.16264090177008986
0.18,0.1425071457720551
0.19,0.12145249427016318
0.2,0.0994152046778708
0.21,0.07632806279097533
0.22,0.05211777672853975
0.23,0.026704289863050994
0.23099999999999998,0.024093462386240657
0.23199999999999998,0.021469641820428206
0.23299999999999998,0.01883273530918774
0.23399999999999999,0.01618264913170959
0.235,0.013519288699198738
0.236,0.010842558547671586
0.237,0.008152362319947993
0.238,0.0054486027512448635
0.239,0.00273118167637934
0.24,
0.25,
0.26,
0.27,
0.28,
0.29,
0.3,
0.31,
0.32,
0.33,
0.34,
0.35,
0.36,
0.37,
0.38,
0.39,
0.4,
0.41,
0.42,
0.43,
0.44,
0.45,
0.46,
0.47,
0.48,
0.49,
0.5,
