pi1,pi2
0.01,
0.02,
0.03,
0.04,
0.05,
0.06,
0.07,
0.08,
0.09,
0.1,
0.11,
0.12,
0.13,
0.14,
0.15,
0.16,
0.17,
0.18,
0.19,
0.2,
0.21,
0.22,
0.23,
0.24,
0.25,
0.26,
0.27,
0.28,
0.29,
0.3,
0.31,
0.32,
0.33,
0.34,
0.35,
0.36,
0.37,
0.38,
0.39,
0.4,
0.41,
0.42,
0.43,
0.44,
0.45,
0.46,
0.47,
0.471,
0.472,
0.473,0.0007555738225776146
0.474,0.0017270794712561388
0.475,0.0026986452306222842
0.476,0.0036702708953849075
0.477,0.004641956281862456
0.478,0.005613701184763791
0.479,0.006585505420407357
0.48,0.0075573687943068105
0.49,0.017279213542508023
0.5,0.02700676729696328
0.51,0.03673985161284761
0.52,0.04647829558348276
0.53,0.05622193542255177
0.54,0.06597061411474381
0.55,0.07572418104839117
0.56,0.08548249167691875
0.57,0.09524540723431801
0.58,0.1050127944182061
0.59,0.11478452513771388
0.6,0.1245604762433661
0.61,0.13434052929297746
0.62,0.1441245703247518
0.63,0.15391248963758458
0.64,0.1637041816001783
0.65,0.17349954445295404
0.66,0.1832984801279724
0.67,0.19310089408686057
0.68,0.20290669515874105
0.69,0.212715795381761
0.7,0.2225281098770363
0.71,0.232343556693783
0.72,0.24216205669046414
0.73,0.25198353341953905
0.74,0.2618079130050085
0.75,0.27163512402716405
0.76,0.2814650974397511
0.77,0.2912977664475138
0.78,0.30113306642696147
0.79,0.3109709348435301
0.8,0.32081131115073847
0.81,0.3306541367181563
0.82,0.34049935475937193
0.83,0.35034691024915543
0.84,0.36019674986943484
0.85,0.37004882192285804
0.86,0.3799030762967763
0.87,0.3897594643732043
0.88,0.39961793899280457
0.89,0.40947845439366004
0.9,0.4193409661644531
0.91,0.4292054311796372
0.92,0.43907180757422526
0.93,0.4489400546789612
0.94,0.4588101329807022
0.95,0.4686820040972075
0.96,0.47855563070870794
0.97,0.48843097655430495
0.98,0.4983080063599375
0.99,0.5081866858275779
