pi,lambda
0.01,0.03119868637035886
0.02,0.04530744336678184
0.03,0.059011164274649926
0.04,0.07232704402447633
0.05,0.0852713178286838
0.06,0.09785932721692255
0.07,0.11010558069420097
0.08,0.1220238095224513
0.09,0.13362701909013622
0.1,0.14492753623365864
0.11,0.15593705293196083
0.12,0.1666666666660429
0.13,0.17712691771352104
0.14,0.1873278236915632
0.15,0.19727891156429997
0.16,0.2069892473127971
0.17,0.21646746348008478
0.18,0.22572178477852695
0.19,0.23476005188198387
0.2,0.24358974359005303
0.21,0.2522179974652311
0.22,0.2606516290726565
0.23,0.26889714993768116
0.24,0.27696078431491633
0.25,0.28484848484798514
0.26,0.292565947242436
0.27,0.30011862396262534
0.28,0.30751173708942436
0.29,0.3147502903603658
0.3,0.3218390804606561
0.31,0.32878270762268214
0.32,0.3355855855844314
0.33,0.34225195094644734
0.34,0.3487858719633317
0.35,0.3551912568310245
0.36,0.36147186147346066
0.37,0.3676312968934338
0.38,0.37367303609486985
0.39,0.37960042060892385
0.4,0.3854166666671209
0.41,0.391124870999931
0.42,0.39672801636162125
0.43,0.4022289766985513
0.44,0.40763052208696443
0.45,0.412935323382653
0.46,0.4181459566077056
0.47,0.42326490713556497
0.48,0.42829457364198237
0.49,0.433237271854282
0.5,0.43809523809533457
