pi2,lambda
0.0,0.3057035369604084
0.0,0.30370162209456025
0.0,0.3016864115873844
0.0,0.29965775129764605
0.0,0.2976154843865128
0.01,0.2955594512455225
0.01,0.2934894894425594
0.01,0.29140543364622057
0.01,0.2893071155645887
0.01,0.28719436386239516
0.02,0.2652329749116633
0.03,0.24161400097161925
0.04,0.21610169491611536
0.05,0.18840579710202876
0.06,0.15816326530741687
0.07,0.12491178546055219
0.08,0.08805031446593795
0.09,0.04677846425556332
0.09100000000000001,0.04236977747440096
0.09214285714285715,0.037262631536680337
0.09328571428571429,0.03208033553423617
0.09442857142857143,0.026820799005356454
0.09557142857142858,0.02148184477983282
0.09671428571428572,0.016061204250060995
0.09785714285714286,0.010556512332403815
0.099,0.004965302115215042
0.1,
0.11,
0.12,
0.13,
0.14,
0.15,
0.16,
0.17,
0.18,
0.19,
0.2,
0.21,
0.22,
0.23,
0.24,
0.25,
0.26,
0.27,
0.28,
0.29,
0.3,
0.31,
0.32,
0.33,
0.34,
0.35,
0.36,
0.37,
0.38,
0.39,
0.4,
0.41,
0.42,
0.43,
0.44,
0.45,
0.46,
0.47,
0.48,
0.49,
0.5,
