pi,lambda
0.01,0.061488673139776545
0.02,0.08805031446593795
0.03,0.11314984709610555
0.04,0.13690476190364853
0.05,0.15942028985404763
0.06,0.18079096045280693
0.07,0.20110192837644392
0.08,0.22043010752598075
0.09,0.23884514435547735
0.1,0.2564102564107214
0.11,0.2731829573923377
0.12,0.28921568627590233
0.13,0.3045563549170643
0.14,0.31924882628987217
0.15,0.3333333333347314
0.16,0.34684684684733813
0.17,0.35982339955776166
0.18,0.37229437229549467
0.19,0.3842887473475378
0.2,0.3958333333350394
0.21,0.4069529652352995
0.22,0.41767068272935276
0.23,0.4280078895475124
0.24,0.43798449612510715
0.25,0.44761904761771587
0.26,0.4569288389506472
0.27,0.4659300184153327
0.28,0.4746376811596356
0.29,0.48306595365255006
0.3,0.4912280701749609
0.31,0.4991364421432227
0.32,0.5068027210867191
0.33,0.514237855945702
0.34,0.5214521452152419
0.35,0.5284552845511644
0.36,0.5352564102557557
0.37,0.5418641390214095
0.38,0.5482866043607987
0.39,0.5545314900153097
0.4,0.5606060606046496
0.41,0.5665171898345693
0.42,0.5722713864319788
0.43,0.5778748180487592
0.44,0.5833333333323617
0.45,0.5886524822712402
0.46,0.5938375350132069
0.47,0.5988934993079756
0.48,0.603825136613513
0.49,0.6086369770570808
0.5,0.6133333333338062
