pi,lambda
0.01,0.035477921230950345
0.02,0.04756803085471636
0.03,0.0593587980096151
0.04,0.0708612040142736
0.05,0.08208569953492276
0.06,0.0930422362794686
0.07,0.10374029640094666
0.08,0.11418891988768261
0.09,0.12439673003019873
0.1,0.13437195715575176
0.11,0.14412246076736177
0.12,0.15365575019177946
0.13,0.16297900385884573
0.14,0.17209908735270574
0.15,0.18102257024568322
0.16,0.18975574188769007
0.17,0.19830462620519673
0.18,0.20667499553857624
0.19,0.2148723836438758
0.2,0.2229020979022382
0.21,0.23076923076938471
0.22,0.23847867055159921
0.23,0.246035111526222
0.24,0.2534430634858866
0.25,0.26070686070650173
0.26,0.2678306704002038
0.27,0.27481850069289915
0.28,0.2816742081444026
0.29,0.2884015048435874
0.3,0.2950039651073598
0.31,0.3014850318230743
0.32,0.3078480224235873
0.33,0.3140961345561728
0.34,0.32023245144530443
0.35,0.3262599469492999
0.36,0.3321814903828621
0.37,0.3379998510695007
0.38,0.3437177026418406
0.39,0.34933762716905503
0.4,0.3548621190141781
0.41,0.3602935885437513
0.42,0.36563436563578144
0.43,0.3708867029932114
0.44,0.37605277933853914
0.45,0.38113470240314345
0.46,0.3861345118085649
0.47,0.3910541817929152
0.48,0.39589562381123167
0.49,0.40066068900257334
0.5,0.4053511705670755
