pi2,lambda
0.0,0.4688994911343382
0.0,0.46719946720001027
0.0,0.46548804341603794
0.0,0.4637650978754978
0.0,0.462030506805838
0.01,0.4602841445256592
0.01,0.45852588339789363
0.01,0.45675559380459446
0.01,0.4549731440965124
0.01,0.4531784005462762
0.02,0.4345238095239913
0.03,0.4144754676076433
0.04,0.3928571428559186
0.05,0.369458128079767
0.06,0.3440233236162052
0.07,0.316239316240507
0.08,0.28571428571562063
0.09,0.2519480519462643
0.1,0.2142857142851537
0.11,0.17184265010266792
0.12,0.12337662337790672
0.13,0.06705539358572775
0.131,0.060893340069786285
0.132,0.054621848740630204
0.133,0.04823707549277412
0.134,0.04173496406494087
0.135,0.0351112302326434
0.136,0.028361344538517456
0.137,0.021480513387528388
0.138,0.014463658348581524
0.139,0.007305393406822816
0.14,
0.15,
0.16,
0.17,
0.18,
0.19,
0.2,
0.21,
0.22,
0.23,
0.24,
0.25,
0.26,
0.27,
0.28,
0.29,
0.3,
0.31,
0.32,
0.33,
0.34,
0.35,
0.36,
0.37,
0.38,
0.39,
0.4,
0.41,
0.42,
0.43,
0.44,
0.45,
0.46,
0.47,
0.48,
0.49,
0.5,
