pi1,pi2
0.01,
0.02,
0.03,
0.04,
0.05,
0.06,
0.07,
0.08,
0.09,
0.1,
0.11,
0.12,
0.13,
0.14,
0.15,
0.16,
0.17,
0.18,
0.19,
0.2,
0.21,
0.22,
0.23,
0.24,
0.25,
0.26,
0.27,
0.28,
0.29,
0.3,
0.31,
0.32,
0.33,
0.34,
0.35,
0.36,
0.37,
0.38,
0.39,
0.4,
0.41,
0.42,
0.43,
0.44,
0.45,
0.46,
0.47,
0.48,
0.49,
0.5,
0.51,
0.52,
0.53,
0.54,
0.55,
0.56,
0.57,
0.58,
0.59,
0.6,
0.61,
0.62,
0.621,
0.622,
0.623,
0.624,
0.625,
0.626,
0.627,
0.628,
0.629,
0.63,0.0006589154659177278
0.64,0.018450001964085524
0.65,0.03624181030553344
0.66,0.05403433618274905
0.67,0.07182757554033184
0.68,0.08962152436610052
0.69,0.1074161786694834
0.7,0.12521153450312789
0.71,0.1430075879484943
0.72,0.16080433511585573
0.73,0.178601772144298
0.74,0.19639989521252446
0.75,0.21419870051724668
0.76,0.23199818429839528
0.77,0.24979834281390875
0.78,0.26759917235774183
0.79,0.28540066925626345
0.8,0.3032028298538506
0.81,0.321005650534498
0.82,0.3388091277074112
0.83,0.35661325780340575
0.84,0.37441803728571144
0.85,0.3922234626499722
0.86,0.41002953040984036
0.87,0.4278362371113826
0.88,0.4456435793258762
0.89,0.4634515536462089
0.9,0.48126015670488553
0.91,0.4990693851452157
0.92,0.5168792356465252
0.93,0.5346897049025461
0.94,0.5525007896394247
0.95,0.570312486612121
0.96,0.5881247925936014
0.97,0.6059377043784432
0.98,0.6237512187900358
0.99,0.6415653326769803
