pi2,lambda
0.0,0.13514185511652796
0.0,0.1333713833723584
0.0,0.13159329579135026
0.0,0.1298075410219048
0.0,0.12801406722980907
0.01,0.12621282209463397
0.01,0.12440375280973479
0.01,0.12258680606784443
0.01,0.1207619280646751
0.01,0.11892906448091042
0.02,0.10014889622471711
0.03,0.08050639758009309
0.04,0.05993780039599585
0.05,0.03837263060692697
0.06,0.015732775325144624
0.061000000000000006,0.013406420683461165
0.062000000000000006,0.011068366938872611
0.063,0.008718521065677913
0.064,0.006356789000915492
0.065,0.003983075647964865
0.066,0.0015972848549370296
0.067,
0.068,
0.069,
0.07,
0.08,
0.09,
0.1,
0.11,
0.12,
0.13,
0.14,
0.15,
0.16,
0.17,
0.18,
0.19,
0.2,
0.21,
0.22,
0.23,
0.24,
0.25,
0.26,
0.27,
0.28,
0.29,
0.3,
0.31,
0.32,
0.33,
0.34,
0.35,
0.36,
0.37,
0.38,
0.39,
0.4,
0.41,
0.42,
0.43,
0.44,
0.45,
0.46,
0.47,
0.48,
0.49,
0.5,
