pi2,lambda
0.0,0.28118143731624756
0.0,0.27980541554186455
0.0,0.2784239854227133
0.0,0.27703711410140647
0.0,0.2756447684432328
0.01,0.27424691503255677
0.01,0.2728435201800209
0.01,0.2714345499045386
0.01,0.2700199699404968
0.01,0.26859974573775613
0.02,0.254079254078381
0.03,0.23895404307774923
0.04,0.22318422318271033
0.05,0.2067261788886861
0.06,0.1895321050229917
0.07,0.17154946918097136
0.08,0.15272038567444704
0.09,0.13298088285122694
0.1,0.11226004117123319
0.11,0.09047897358661645
0.12,0.06754961210542113
0.13,0.04337325434469135
0.14,0.017838810585408236
0.141,0.0152059744357051
0.142,0.012558181111795809
0.143,0.00989529456687903
0.144,0.007217177000174716
0.145,0.0045236888209080955
0.146,0.0018146886086921042
0.147,
0.148,
0.149,
0.15,
0.16,
0.17,
0.18,
0.19,
0.2,
0.21,
0.22,
0.23,
0.24,
0.25,
0.26,
0.27,
0.28,
0.29,
0.3,
0.31,
0.32,
0.33,
0.34,
0.35,
0.36,
0.37,
0.38,
0.39,
0.4,
0.41,
0.42,
0.43,
0.44,
0.45,
0.46,
0.47,
0.48,
0.49,
0.5,
