pi2,lambda
0.0,0.13819004241361066
0.0,0.13666910639497695
0.0,0.13514304935994179
0.0,0.13361184621256325
0.0,0.1320754716984289
0.01,0.1305339003938514
0.01,0.12898710672387606
0.01,0.12743506493346832
0.01,0.125877749119928
0.01,0.12431513319327177
0.02,0.1083916083899503
0.03,0.09190809190932095
0.04,0.0748355263170195
0.05,0.05714285714244832
0.06,0.0387968613778342
0.07,0.019761958228606418
0.07100000000000001,0.017819132762953934
0.07214285714285715,0.015589810060991773
0.07328571428571429,0.01335088277323702
0.07442857142857143,0.01110229081061163
0.07557142857142858,0.008843973597821726
0.07671428571428572,0.006575870062552745
0.07785714285714286,0.00429791862466466
0.079,0.0020100572105983903
0.08,
0.09,
0.1,
0.11,
0.12,
0.13,
0.14,
0.15,
0.16,
0.17,
0.18,
0.19,
0.2,
0.21,
0.22,
0.23,
0.24,
0.25,
0.26,
0.27,
0.28,
0.29,
0.3,
0.31,
0.32,
0.33,
0.34,
0.35,
0.36,
0.37,
0.38,
0.39,
0.4,
0.41,
0.42,
0.43,
0.44,
0.45,
0.46,
0.47,
0.48,
0.49,
0.5,
