pi2,lambda
0.0,0.848602043964023
0.0,0.8482440693395653
0.0,0.8478843974291552
0.0,0.8475230161134127
0.0,0.847159913193722
0.01,0.8467950763562153
0.01,0.8464284930961414
0.01,0.8460601508835371
0.01,0.8456900370083595
0.01,0.8453181386489166
0.02,0.8414980986195887
0.03,0.8374845433676079
0.04,0.8332623811558255
0.05,0.8288149084595002
0.06,0.8241235888317193
0.07,0.8191677942437608
0.08,0.8139245014234758
0.09,0.8083679335682176
0.1,0.8024691358027553
0.11,0.7961954695147726
0.12,0.7895100069008609
0.13,0.7823708019308464
0.14,0.7747300072897344
0.15,0.7665327978597619
0.16,0.7577160493837597
0.17,0.748206704729413
0.18,0.7379197379197436
0.19,0.7267555953014528
0.2,0.7145969498919357
0.21,0.7013045434088443
0.22,0.6867118014077495
0.23,0.6706177763018161
0.24,0.6527777777767483
0.25,0.6328907523880489
0.26,0.6105820105802549
0.27,0.585379159847869
0.28,0.5566778900128933
0.29,0.5236922066177147
0.3,0.4853801169607904
0.31,0.4403292181078245
0.32,0.3865740740750675
0.33,0.3212917350851857
0.34,0.24026590693244254
0.35,0.13687600644175246
0.351,0.12493631814124045
0.352,0.11265432098707569
0.353,0.1000146194148177
0.354,0.08700084208600735
0.355,0.07359555938273615
0.356,0.05978019185499931
0.357,0.045534908446710674
0.358,0.03083851303813042
0.359,0.01566831760114929
0.36,
0.37,
0.38,
0.39,
0.4,
0.41,
0.42,
0.43,
0.44,
0.45,
0.46,
0.47,
0.48,
0.49,
0.5,
