pi2,lambda
0.0,0.2481683668939233
0.0,0.246327260236843
0.0,0.24447659902378216
0.0,0.2426163011779006
0.0,0.24074628354908187
0.01,0.2388664618743153
0.01,0.2369767507812977
0.01,0.2350770637416127
0.01,0.23316731306352736
0.01,0.23124740986317957
0.02,0.21146953405172553
0.03,0.1905687895006179
0.04,0.1684322033911892
0.05,0.14492753623365864
0.06,0.11989795918279476
0.07,0.0931545518711439
0.08,0.0644654088037455
0.09,0.033539276256529985
0.09100000000000001,0.03031006851575955
0.09214285714285715,0.026587116362587353
0.09328571428571429,0.022828934185377635
0.09442857142857143,0.019034833023449316
0.09557142857142858,0.01520409999430064
0.09671428571428572,0.011335997058260695
0.09785714285714286,0.007429759736320193
0.099,0.0034845957163126126
0.1,
0.11,
0.12,
0.13,
0.14,
0.15,
0.16,
0.17,
0.18,
0.19,
0.2,
0.21,
0.22,
0.23,
0.24,
0.25,
0.26,
0.27,
0.28,
0.29,
0.3,
0.31,
0.32,
0.33,
0.34,
0.35,
0.36,
0.37,
0.38,
0.39,
0.4,
0.41,
0.42,
0.43,
0.44,
0.45,
0.46,
0.47,
0.48,
0.49,
0.5,
