pi2,lambda
0.0,0.596366400645436
0.0,0.595506922939524
0.0,0.594643765548325
0.0,0.5937769047012854
0.0,0.5929063164225609
0.01,0.5920319765346167
0.01,0.5911538606366199
0.01,0.5902719441296491
0.01,0.589386202187882
0.01,0.5884966097730028
0.02,0.5793832407113804
0.03,0.5698555698570653
0.04,0.5598845598834209
0.05,0.5494383800023838
0.06,0.5384820594906397
0.07,0.5269770879517491
0.08,0.5148809523810154
0.09,0.502146598920919
0.1,0.48872180451174513
0.11,0.4745484400656523
0.12,0.4595616024200821
0.13,0.44368858654584464
0.14,0.4268476621415581
0.15,0.4089466089461645
0.16,0.3898809523803995
0.17,0.36953182394846434
0.18,0.3477633477629096
0.19,0.3244194229409009
0.2,0.2993197278894223
0.21,0.27225471085200664
0.22,0.24297924298005946
0.23,0.21120448179124143
0.24,0.1765873015856405
0.25,0.1387163561075477
0.26,0.09709338280702268
0.27,0.05110762253688796
0.271,0.046241396302207714
0.272,0.04132326007320601
0.273,0.03635234001552253
0.274,0.03132774145234348
0.275,0.026248548198105667
0.276,0.02111382187419278
0.277,0.015922601167005966
0.278,0.010673901114847196
0.279,0.005366712286754706
0.28,
0.29,
0.3,
0.31,
0.32,
0.33,
0.34,
0.35,
0.36,
0.37,
0.38,
0.39,
0.4,
0.41,
0.42,
0.43,
0.44,
0.45,
0.46,
0.47,
0.48,
0.49,
0.5,
