pi,lambda
0.01,0.0010037871958226612
0.02,0.0016146695140849573
0.03,0.002224805181253097
0.04,0.0028341955659347074
0.05,0.0034428420403390145
0.06,0.004050745958667249
0.07,0.004657908682323837
0.08,0.005264331565510016
0.09,0.005870015958825412
0.1,0.006474963209268063
0.11,0.007079174667437599
0.12,0.007682651665925654
0.13,0.008285395551730261
0.14,0.008887407653841464
0.15,0.009488689308452494
0.16,0.010089241840951793
0.17,0.010689066576727796
0.18,0.011288164841168942
0.19,0.01188653795246048
0.2,0.01248418722158444
0.21,0.01308111397032767
0.22,0.013677319498867413
0.23,0.014272805118185716
0.24,0.014867572128459818
0.25,0.015461621833468569
0.26,0.016054955529787612
0.27,0.016647574510390995
0.28,0.017239480061049573
0.29,0.017830673474737387
0.3,0.01842115603722529
0.31,0.019010929027080938
0.32,0.019599993719270375
0.33,0.020188351395962856
0.34,0.020776003324921237
0.35,0.02136295077390837
0.36,0.021949195014288714
0.37,0.02253473730302031
0.38,0.02311957890426443
0.39,0.023703721074979135
0.4,0.024287165064919267
0.41,0.024869912131042896
0.42,0.025451963515901687
0.43,0.026033320465648876
0.44,0.026613984226437758
0.45,0.027193956033616774
0.46,0.027773237122534388
0.47,0.028351828728539075
0.48,0.028929732083377686
0.49,0.029506948411593903
0.5,0.030083478937731372
