pi2,lambda
0.0,0.26798242627436475
0.0,0.26672998793909547
0.0,0.26547343460407063
0.0,0.26421274651812127
0.0,0.2629479038184287
0.01,0.2616788865089153
0.01,0.26040567447104873
0.01,0.2591282474566396
0.01,0.257846585091442
0.01,0.2565606668715529
0.02,0.24346280781858856
0.03,0.2299158128294551
0.04,0.21589688506813512
0.05,0.20138169257465535
0.06,0.18634423897488472
0.07,0.17075672112013002
0.08,0.15458937198178513
0.09,0.13781028713709537
0.1,0.12038523274630367
0.11,0.10227743271255535
0.12,0.08344733242060408
0.13,0.0638523359533425
0.14,0.04344651332502136
0.15,0.022180273715373715
0.151,0.02000429955481145
0.152,0.017819132762953934
0.153,0.015624716935158952
0.154,0.013420995227389178
0.155,0.011207910338204228
0.156,0.008985404497955849
0.157,0.006753419479592699
0.158,0.004511896587855574
0.159,0.002260776644871
0.16,
0.17,
0.18,
0.19,
0.2,
0.21,
0.22,
0.23,
0.24,
0.25,
0.26,
0.27,
0.28,
0.29,
0.3,
0.31,
0.32,
0.33,
0.34,
0.35,
0.36,
0.37,
0.38,
0.39,
0.4,
0.41,
0.42,
0.43,
0.44,
0.45,
0.46,
0.47,
0.48,
0.49,
0.5,
