pi1,pi2
0.001,
0.002,
0.003,0.0004400164903220628
0.004,0.002160241516222634
0.005,0.003887262482148286
0.006,0.005620056411523354
0.007,0.007357821102190419
0.008,0.009099914450271635
0.009,0.010845813615239062
0.01,0.012595086592493617
0.02,0.030214614886768205
0.03,0.04796798469448163
0.04,0.06579138865038135
0.05,0.08365735014114763
0.06,0.10155154718498367
0.07,0.1194656151762166
0.08,0.13739427867988696
0.09,0.1553340191498496
0.1,0.173282387181831
0.11,0.1912376186874207
0.12,0.20919840743508503
0.13,0.22716376361537363
0.14,0.2451329223386949
0.15,0.26310528248376636
0.16,0.281080364645344
0.17,0.2990577815254776
0.18,0.31703721663365325
0.19,0.33501840868826854
0.2,0.3530011399906709
0.21,0.37098522763725567
0.22,0.38897051678807776
0.23,0.40695687545173653
0.24,0.42494419040836506
0.25,0.4429323639465822
0.26,0.46092131130995795
0.27,0.47891095858647753
0.28,0.4969012410265936
0.29,0.5148921016746191
0.3,0.5328834902054116
0.31,0.5508753619879553
0.32,0.5688676773074182
0.33,0.5868604007060578
0.34,0.6048535004069662
0.35,0.6228469478674711
0.36,0.6408407173649523
0.37,0.6588347856618927
0.38,0.6768291317141495
0.39,0.6948237364008335
0.4,0.7128185823334245
0.41,0.7308136536468789
0.42,0.7488089358411589
0.43,0.7668044156335675
0.44,0.784800080843497
0.45,0.8027959202627709
0.46,0.8207919235800113
0.47,0.8387880812797937
0.48,0.8567843845706148
0.49,0.8747808253164624
0.5,0.89277739597919
0.51,0.9107740895572887
0.52,0.9287708995534741
0.53,0.9467678199170599
0.54,0.964764845007942
0.55,0.9827619695605825
0.56,
0.57,
0.58,
0.59,
0.6,
0.61,
0.62,
0.63,
0.64,
0.65,
0.66,
0.67,
0.68,
0.69,
0.7,
0.71,
0.72,
0.73,
0.74,
0.75,
0.76,
0.77,
0.78,
0.79,
0.8,
0.81,
0.82,
0.83,
0.84,
0.85,
0.86,
0.87,
0.88,
0.89,
0.9,
0.91,
0.92,
0.93,
0.94,
0.95,
0.96,
0.97,
0.98,
0.99,
