pi2,lambda
0.0,0.712596709168164
0.0,0.7119552711827601
0.0,0.7113109610049757
0.0,0.7106637592546063
0.0,0.710013646414587
0.01,0.7093606027841706
0.01,0.7087046084681251
0.01,0.7080456434055434
0.01,0.7073836873554391
0.01,0.7067187198751361
0.02,0.6998987854247382
0.03,0.6927537773999143
0.04,0.6852598566294773
0.05,0.6773907910254445
0.06,0.6691176470592632
0.07,0.6604084321482377
0.08,0.6512276785699983
0.09,0.6415359573834949
0.1,0.6312893081770188
0.11,0.6204385671250786
0.12,0.6089285714275889
0.13,0.596697212676391
0.14,0.5836743044188799
0.15,0.5697802197811418
0.16,0.5549242424254226
0.17,0.5390025575457806
0.18,0.5218957871390089
0.19,0.5034659433399931
0.2,0.4835526315800115
0.21,0.46196827685811886
0.22,0.43849206349255054
0.23,0.41286215979067303
0.24,0.3847656249999258
0.25,0.353825136612281
0.26,0.31958128078684045
0.27,0.2814685314671723
0.28,0.23878205128095178
0.29,0.19063079777351896
0.3,0.13586956521776414
0.31,0.07299741602104762
0.311,0.06619214272583097
0.312,0.059283876502365274
0.313,0.05227018319914892
0.314,0.045148547902423966
0.315,0.03791637136699148
0.316,0.03057096624893884
0.317,0.023109553125873004
0.318,0.015529256279447923
0.319,0.007827099225780213
0.32,
0.33,
0.34,
0.35,
0.36,
0.37,
0.38,
0.39,
0.4,
0.41,
0.42,
0.43,
0.44,
0.45,
0.46,
0.47,
0.48,
0.49,
0.5,
