pi,lambda
0.01,0.24989639452838422
0.02,0.3814080656198814
0.03,0.47368421052524623
0.04,0.5420040485845085
0.05,0.5946248600239514
0.06,0.6364001607075729
0.07,0.6703696958671924
0.08,0.6985343104596458
0.09,0.7222648457877177
0.1,0.7425320056905039
0.11,0.760042423438062
0.12,0.7753227408155929
0.13,0.7887734858225743
0.14,0.8007046905962156
0.15,0.811360083377276
0.16,0.8209339137328394
0.17,0.8295829017974721
0.18,0.8374348841385691
0.19,0.8445951747240621
0.2,0.8511513157880842
0.21,0.8571766748199403
0.22,0.8627332018798863
0.23,0.867873567414666
0.24,0.87264283704067
0.25,0.8770797962660809
0.26,0.881218007614208
0.27,0.885086661162706
0.28,0.8887112641417381
0.29,0.8921142039683504
0.3,0.8953152111059678
0.31,0.8983317418423402
0.32,0.9011792967897457
0.33,0.9038716872916716
0.34,0.9064212594350668
0.35,0.9088390833539904
0.36,0.911135113904146
0.37,0.9133183276677085
0.38,0.9153968402357946
0.39,0.9173780070280241
0.4,0.9192685102603313
0.41,0.9210744342219868
0.42,0.9228013307166504
0.43,0.9244542760540748
0.44,0.9260379208890333
0.45,0.9275565339195191
0.46,0.9290140403158087
0.47,0.930414055593499
0.48,0.9317599155499995
0.49,0.93305470281552
0.5,0.934301270418333
