pi2,lambda
0.0,0.7354100519439954
0.0,0.7343247797418514
0.0,0.7332305605590747
0.0,0.7321272831494752
0.0,0.7310148344660622
0.01,0.729893099545796
0.01,0.7287619615059826
0.01,0.7276213014722457
0.01,0.7264709985821246
0.01,0.7253109299094437
0.02,0.7131445170681836
0.03,0.6998491704377418
0.04,0.6852598566294773
0.05,0.6691776522272366
0.06,0.6513605442193782
0.07,0.6315110466064601
0.08,0.6092592592610033
0.09,0.5841392649887852
0.1,0.5555555555560477
0.11,0.5227341162302721
0.12,0.4846491228063179
0.13,0.43990929705352205
0.14,0.3865740740750675
0.15,0.3218390804606561
0.16,0.24145299145147417
0.17,0.13848631239797268
0.17099999999999999,0.12653805255831468
0.172,0.1142290249425102
0.173,0.10153995121386647
0.174,0.08844977652176364
0.175,0.07493540051623193
0.176,0.06097134870564294
0.177,0.04652936689505034
0.178,0.03157791507148801
0.179,0.016081528397467185
0.18,
0.19,
0.2,
0.21,
0.22,
0.23,
0.24,
0.25,
0.26,
0.27,
0.28,
0.29,
0.3,
0.31,
0.32,
0.33,
0.34,
0.35,
0.36,
0.37,
0.38,
0.39,
0.4,
0.41,
0.42,
0.43,
0.44,
0.45,
0.46,
0.47,
0.48,
0.49,
0.5,
