pi2,lambda
0.0,0.4858052624442068
0.0,0.4847641996863353
0.0,0.4837188910213885
0.0,0.4826693102549371
0.0,0.4816154309836585
0.01,0.4773563929179318
0.01,0.4784277347293355
0.01,0.47628061722119547
0.01,0.48055722657372796
0.01,0.4794946701824279
0.02,0.46527277096972924
0.03,0.45378945378922475
0.04,0.44179894179788254
0.05,0.4292665971501774
0.06,0.41615452150900845
0.07,0.4024211581446412
0.08,0.3880208333322997
0.09,0.37290322580781854
0.1,0.35701275045481523
0.11,0.34028783927425876
0.12,0.32266009852386185
0.13,0.30405331585447354
0.14,0.28438228438079666
0.15,0.263551401868263
0.16,0.24145299145147417
0.17,0.217965274787533
0.18,0.192949907236927
0.19,0.1662489557221736
0.2,0.13768115942166334
0.21,0.10703725606105163
0.22,0.0740740740735276
0.23,0.0385069690509904
0.23099999999999998,0.03479461660181806
0.23199999999999998,0.03105255047092434
0.23299999999999998,0.02728039657462555
0.23399999999999999,0.023477774177084642
0.235,0.01964429571743442
0.236,0.01577956666211199
0.237,0.01188318533198198
0.238,0.007954742722256644
0.239,0.003993822336822269
0.24,
0.25,
0.26,
0.27,
0.28,
0.29,
0.3,
0.31,
0.32,
0.33,
0.34,
0.35,
0.36,
0.37,
0.38,
0.39,
0.4,
0.41,
0.42,
0.43,
0.44,
0.45,
0.46,
0.47,
0.48,
0.49,
0.5,
