pi1,pi2
0.01,
0.02,
0.03,
0.04,
0.05,
0.06,
0.07,
0.08,
0.09,
0.1,
0.11,
0.12,
0.13,
0.14,
0.15,
0.16,
0.17,
0.18,
0.19,
0.2,
0.21,
0.22,
0.23,
0.24,
0.25,
0.26,
0.27,
0.28,
0.281,
0.282,
0.283,
0.284,
0.285,
0.286,0.0003809584276394643
0.287,0.0017144079690303965
0.288,0.0030480049706899503
0.289,0.004381748881573473
0.29,0.005715639172245913
0.3,0.019062477147139406
0.31,0.032423384476869765
0.32,0.04579786962240612
0.33,0.05918546539873016
0.34,0.07258572737212457
0.35,0.08599823244114307
0.36,0.0994225774788075
0.37,0.11285837811526737
0.38,0.1263052675888898
0.39,0.13976289570539743
0.4,0.1532309278546318
0.41,0.16670904410655213
0.42,0.18019693836846104
0.43,0.19369431762866868
0.44,0.20720090119295406
0.45,0.22071642003987835
0.46,0.2342406161833023
0.47,0.2477732420673174
0.48,0.26131406004401386
0.49,0.2748628418440461
0.5,0.2884193680868146
0.51,0.30198342785907906
0.52,0.3155548182575559
0.53,0.329133344021554
0.54,0.3427188171476047
0.55,0.35631105653650463
0.56,0.3699098876799765
0.57,0.3835151423257205
0.58,0.3971266582180992
0.59,0.4107442787884002
0.6,0.42436785292793505
0.61,0.4379972347143179
0.62,0.4516322832025727
0.63,0.4652728621982325
0.64,0.47891884004484525
0.65,0.4925700894366905
0.66,0.506226487231496
0.67,0.519887914266757
0.68,0.5335542552084676
0.69,0.5472253983818476
0.7,0.5609012356236749
0.71,0.5745816621382228
0.72,0.5882665763712043
0.73,0.6019558798657062
0.74,0.6156494771541439
0.75,0.6293472756358047
0.76,0.6430491854652
0.77,0.6567551194476171
0.78,0.6704649929418774
0.79,0.6841787237558903
0.8,0.6978962320602128
0.81,0.7116174403088169
0.82,0.7253422731382427
0.83,0.7390706573063731
0.84,0.7528025216023919
0.85,0.7665377967819568
0.86,0.7802764154915641
0.87,0.7940183122109247
0.88,0.8077634231773294
0.89,0.8215116863388289
0.9,0.8352630412822012
0.91,0.849017429186131
0.92,0.8627747927671859
0.93,0.8765350762221911
0.94,0.8902982251886105
0.95,0.9040641866797197
0.96,0.917832909062995
0.97,0.9316043420024885
0.98,0.9453784364156086
0.99,0.9591551444371049
