pi2,lambda
0.0,0.13894129748221537
0.0,0.13691545596954266
0.0,0.13487985115581172
0.0,0.13283441120713024
0.0,0.13077906358369232
0.01,0.12871373502537242
0.01,0.1266383515373186
0.01,0.12455283837554643
0.01,0.12245712006494693
0.01,0.12035112035246563
0.02,0.09870830923301442
0.03,0.07594745583713693
0.04,0.05197811447644052
0.05,0.02669969721923357
0.051,0.024095645927677697
0.052,0.021477273738406306
0.053,0.0188444602211514
0.054,0.016197083584240574
0.05499999999999999,0.01353502063497939
0.055999999999999994,0.010858146779651395
0.056999999999999995,0.008166335998306925
0.057999999999999996,0.0054594608195519196
0.059,0.0027373922953367064
0.06,
0.07,
0.08,
0.09,
0.1,
0.11,
0.12,
0.13,
0.14,
0.15,
0.16,
0.17,
0.18,
0.19,
0.2,
0.21,
0.22,
0.23,
0.24,
0.25,
0.26,
0.27,
0.28,
0.29,
0.3,
0.31,
0.32,
0.33,
0.34,
0.35,
0.36,
0.37,
0.38,
0.39,
0.4,
0.41,
0.42,
0.43,
0.44,
0.45,
0.46,
0.47,
0.48,
0.49,
0.5,
