pi,lambda
0.01,0.011753631669840418
0.02,0.016930708101727584
0.03,0.022053825431141212
0.04,0.027123822881075055
0.05,0.03214152236163634
0.06,0.03710772891664412
0.07,0.04202323115221951
0.08,0.04688880164736804
0.09,0.051705197371765
0.1,0.05647316006752513
0.11,0.06119341663097194
0.12,0.06586667949080574
0.13,0.07049364695745865
0.14,0.07507500357244969
0.15,0.07961142044693532
0.16,0.08410355559665775
0.17,0.08855205424808117
0.18,0.09295754915173085
0.19,0.09732066088832886
0.2,0.10164199814971889
0.21,0.10592215803059593
0.22,0.11016172630222754
0.23,0.11436127767176915
0.24,0.11852137605598542
0.25,0.12264257481535448
0.26,0.1267254170241875
0.27,0.13077043567591998
0.28,0.13477815395683354
0.29,0.1387490854261354
0.3,0.1426837342752737
0.31,0.14658259551522082
0.32,0.15044615519256907
0.33,0.15427489059842364
0.34,0.1580692704484824
0.35,0.16182975509913197
0.36,0.1655567966987147
0.37,0.16925083941082797
0.38,0.17291231955118494
0.39,0.17654166578210073
0.4,0.18013929928176783
0.41,0.18370563389192146
0.42,0.18724107628711484
0.43,0.1907460261259862
0.44,0.1942208762025263
0.45,0.1976660126009465
0.46,0.20108181481813392
0.47,0.20446865592212132
0.48,0.20782690268534637
0.49,0.21115691570350434
0.5,0.21445904954321393
