pi2,lambda
0.0,0.4903941407646444
0.0,0.4895574712830057
0.0,0.48871804819883735
0.0,0.4878758578836886
0.0,0.4870308866262718
0.01,0.486183120614455
0.01,0.48533254595687064
0.01,0.484479148657705
0.01,0.48362291463830764
0.01,0.4827638297227846
0.02,0.47401299350175247
0.03,0.4649607444038445
0.04,0.4555912252548772
0.05,0.4458874458860465
0.06,0.4358311800165456
0.07,0.42540285065788813
0.08,0.4145814025344652
0.09,0.40334415974835347
0.1,0.3916666666678719
0.11,0.3795225096412293
0.12,0.3668831168844776
0.13,0.3537175332303073
0.14,0.3399921660784557
0.15,0.32567049808534787
0.16,0.31071276141747417
0.17,0.2950755674529861
0.18,0.27871148459505724
0.19,0.26156855553515995
0.2,0.24358974359005303
0.21,0.22471229557891476
0.22,0.2048670062255571
0.23,0.1839773657967983
0.24,0.1619585687371216
0.25,0.1387163561075477
0.26,0.11414565826181747
0.27,0.08812899638471515
0.28,0.06053459119518092
0.29,0.03121411420872797
0.291,0.028180864237439297
0.292,0.02512851731678924
0.293,0.02205689212787682
0.294,0.018965805050379262
0.295,0.01585507012293444
0.296,0.01272449899632007
0.297,0.009573900897437732
0.298,0.006403082607703277
0.299,0.0032118483982180343
0.3,
0.31,
0.32,
0.33,
0.34,
0.35,
0.36,
0.37,
0.38,
0.39,
0.4,
0.41,
0.42,
0.43,
0.44,
0.45,
0.46,
0.47,
0.48,
0.49,
0.5,
