pi,lambda
0.001,0.049351714240119755
0.002,0.073704184559961
0.003,0.096840157747516
0.004,0.11884856545818513
0.005,0.139809877116753
0.006,0.15979708306748194
0.007,0.1788765437555274
0.008,0.19710872576051763
0.009,0.21454884193756057
0.01,0.23124740986317957
0.02,0.3660287081338532
0.03,0.46059901134134285
0.04,0.5306174089067643
0.05,0.5845464725642253
0.06,0.6273603856974436
0.07,0.6621744673094769
0.08,0.6910393071277786
0.09,0.7153598281417382
0.1,0.7361308677095213
0.11,0.7540766273374375
0.12,0.7697368421033777
0.13,0.7835219978986714
0.14,0.7957498348370734
0.15,0.8066701406984258
0.16,0.8164819944591463
0.17,0.8253460126184896
0.18,0.8333932099857092
0.19,0.8407315188444026
0.2,0.8474506578965989
0.21,0.85362581866863
0.22,0.8593204914301654
0.23,0.8645886561045228
0.24,0.8694764987331342
0.25,0.874023769101896
0.26,0.8782648641561803
0.27,0.8822296996994456
0.28,0.8859444171170041
0.29,0.889431960420615
0.3,0.8927125506078891
0.31,0.8958040779628585
0.32,0.898722428476101
0.33,0.9014817568639509
0.34,0.9040947161632363
0.35,0.9065726517242051
0.36,0.9089257659080467
0.37,0.9111632584628166
0.38,0.913293446759216
0.39,0.9153238690844534
0.4,0.9172613737746165
0.41,0.9191121963969389
0.42,0.9208820267863631
0.43,0.9225760674490705
0.44,0.9241990846691696
0.45,0.9257554532729726
0.46,0.9272491960160815
0.47,0.9286840182991998
0.48,0.9300633388645625
0.49,0.9313903169736016
0.5,0.9326678765880817
