pi2,lambda
0.0,0.3022583291854989
0.0,0.3009401847940064
0.0,0.2996169656630584
0.0,0.2982886418129443
0.0,0.2969551830298504
0.01,0.29561655885145177
0.01,0.29427273856691377
0.01,0.29292369121689127
0.01,0.29156938558632556
0.01,0.2902097902080458
0.02,0.27631578947315855
0.03,0.2618561958181534
0.04,0.2467948717961205
0.05,0.23109243697594647
0.06,0.2147058823515231
0.07,0.19758812616014135
0.08,0.17968749999914033
0.09,0.16094715168078993
0.1,0.14130434782586018
0.11,0.12068965517334361
0.12,0.09902597402652934
0.13,0.07622739018208925
0.14,0.052197802198619664
0.15,0.02682926829150479
0.151,0.02421421627950793
0.152,0.021584440228411
0.153,0.01893980841333148
0.154,0.016280187431041714
0.155,0.013605442178359333
0.156,0.010915435805326413
0.157,0.00821002971520951
0.158,0.005489083506874098
0.159,0.0027524549639797173
0.16,
0.17,
0.18,
0.19,
0.2,
0.21,
0.22,
0.23,
0.24,
0.25,
0.26,
0.27,
0.28,
0.29,
0.3,
0.31,
0.32,
0.33,
0.34,
0.35,
0.36,
0.37,
0.38,
0.39,
0.4,
0.41,
0.42,
0.43,
0.44,
0.45,
0.46,
0.47,
0.48,
0.49,
0.5,
