pi2,lambda
0.0,0.04910870194322075
0.0,0.04526586393977036
0.0,0.04139921519615498
0.0,0.03750855484399417
0.0,0.033593679864752805
0.01,0.013648824969218641
0.01,0.021701703938125254
0.01,0.017687896026770164
0.01,0.029654385046522014
0.01,0.025690462962409524
0.011,0.00958427417611048
0.012,0.005494024688233354
0.013,0.0013778551369051778
0.013999999999999999,
0.015,
0.016,
0.017,
0.018,
0.019,
0.02,
0.03,
0.04,
0.05,
0.06,
0.07,
0.08,
0.09,
0.1,
0.11,
0.12,
0.13,
0.14,
0.15,
0.16,
0.17,
0.18,
0.19,
0.2,
0.21,
0.22,
0.23,
0.24,
0.25,
0.26,
0.27,
0.28,
0.29,
0.3,
0.31,
0.32,
0.33,
0.34,
0.35,
0.36,
0.37,
0.38,
0.39,
0.4,
0.41,
0.42,
0.43,
0.44,
0.45,
0.46,
0.47,
0.48,
0.49,
0.5,
