pi2,lambda
0.0,0.2952316270831054
0.0,0.29406766666658907
0.0,0.29289985227260434
0.0,0.2917281647118319
0.0,0.29055258466889594
0.01,0.2893730927023652
0.01,0.28818966923754874
0.01,0.28700229457009857
0.01,0.2858109488660088
0.01,0.28461561215081127
0.02,0.2724382489610741
0.03,0.25983878615300726
0.04,0.2467948717961205
0.05,0.23328254613048774
0.06,0.21927609427575404
0.07,0.2047478823583801
0.08,0.18966817496099453
0.09,0.17400493131510833
0.1,0.1577235772370605
0.11,0.140786749482918
0.12,0.12315400843811719
0.13,0.10478151452819832
0.14,0.0856216628509918
0.15,0.0656226696482217
0.16,0.04472810294872359
0.17,0.022876348458512868
0.17099999999999999,0.020635986297310675
0.172,0.018385312750914866
0.173,0.016124256374405708
0.174,0.013852745056567667
0.175,0.011570706019889347
0.176,0.009278065813360376
0.177,0.0069747502980649495
0.178,0.004660684629173864
0.179,0.002335793281155698
0.18,
0.19,
0.2,
0.21,
0.22,
0.23,
0.24,
0.25,
0.26,
0.27,
0.28,
0.29,
0.3,
0.31,
0.32,
0.33,
0.34,
0.35,
0.36,
0.37,
0.38,
0.39,
0.4,
0.41,
0.42,
0.43,
0.44,
0.45,
0.46,
0.47,
0.48,
0.49,
0.5,
