pi2,lambda
0.0,0.355723835528064
0.0,0.35429837358830096
0.0,0.35286642638604565
0.0,0.35142794855195547
0.0,0.34998289428809715
0.01,0.34853121735714254
0.01,0.34707287108596996
0.01,0.345607808340453
0.01,0.34413598154346864
0.01,0.34265734265688935
0.02,0.32748538011695927
0.03,0.3115757266705687
0.04,0.2948717948727264
0.05,0.2773109243702242
0.06,0.25882352941035214
0.07,0.2393320964762738
0.08,0.21874999999843242
0.09,0.19698009608860426
0.1,0.17391304347803818
0.11,0.14942528735673088
0.12,0.12337662337790672
0.13,0.09560723514113566
0.14,0.06593406593427827
0.15,0.03414634146329155
0.151,0.03084219518691113
0.152,0.02751423150020435
0.153,0.024162182055231518
0.154,0.02078577435861248
0.155,0.017384731670681847
0.156,0.013958772926253802
0.157,0.01050761265898852
0.158,0.00703096089694581
0.159,0.003528523090553135
0.16,
0.17,
0.18,
0.19,
0.2,
0.21,
0.22,
0.23,
0.24,
0.25,
0.26,
0.27,
0.28,
0.29,
0.3,
0.31,
0.32,
0.33,
0.34,
0.35,
0.36,
0.37,
0.38,
0.39,
0.4,
0.41,
0.42,
0.43,
0.44,
0.45,
0.46,
0.47,
0.48,
0.49,
0.5,
