pi,lambda
0.01,0.003953657131689454
0.02,0.005521411081497667
0.03,0.007084237572038886
0.04,0.008642159794009192
0.05,0.010195200794040708
0.06,0.011743383485506385
0.07,0.013286730619707227
0.08,0.01482526482548987
0.09,0.016359008573230582
0.1,0.01788798421085129
0.11,0.019412213927803536
0.12,0.02093171979468611
0.13,0.02244652373443224
0.14,0.02395664754031758
0.15,0.02546211286515545
0.16,0.026962941235703152
0.17,0.028459154034654086
0.18,0.029950772529450456
0.19,0.03143781784707211
0.2,0.03292031098123969
0.21,0.03439827281042274
0.22,0.035871724072628404
0.23,0.03734068538701107
0.24,0.03880517724306755
0.25,0.04026522001144189
0.26,0.041720833936722185
0.27,0.043172039133838915
0.28,0.04461885560607309
0.29,0.04606130323425124
0.3,0.04749940176954242
0.31,0.04893317085866925
0.32,0.05036263002229844
0.33,0.05178779866224388
0.34,0.053208696065068325
0.35,0.05462534140928654
0.36,0.05603775374735734
0.37,0.05744595202729317
0.38,0.05884995507465209
0.39,0.06024978161774899
0.4,0.06164545025884283
0.41,0.06303697949934772
0.42,0.0644243877218251
0.43,0.06580769321159316
0.44,0.06718691413511739
0.45,0.06856206856162002
0.46,0.06993317444867375
0.47,0.07130024964580332
0.48,0.07266331190168879
0.49,0.07402237885696204
0.5,0.0753774680586135
