pi1,pi2
0.01,
0.02,
0.03,
0.04,
0.05,
0.06,
0.07,
0.08,
0.09,
0.1,
0.11,
0.12,
0.13,
0.14,
0.15,
0.16,
0.17,
0.18,
0.19,
0.191,
0.192,
0.193,
0.194,
0.195,0.0004929599922947216
0.196,0.001380299196405635
0.197,0.0022676528537334097
0.198,0.003155020924660458
0.199,0.004042403380373985
0.2,0.004929800195662801
0.21,0.013804552150138994
0.22,0.02268071051822717
0.23,0.03155824919553766
0.24,0.04043714277278935
0.25,0.04931736651780184
0.26,0.058198896350284024
0.27,0.06708170880581832
0.28,0.07596578103586057
0.29,0.08485109077532564
0.3,0.09373761631737623
0.31,0.10262533650621972
0.32,0.11151423071549851
0.33,0.12040427882668049
0.34,0.12929546121465257
0.35,0.13818775872971287
0.36,0.14708115269036723
0.37,0.15597562485811814
0.38,0.16487115743386338
0.39,0.17376773302908277
0.4,0.18266533467304183
0.41,0.19156394578037697
0.42,0.20046355015109593
0.43,0.20936413195977258
0.44,0.21826567573393746
0.45,0.22716816635047643
0.46,0.2360715890356302
0.47,0.2449759293289787
0.48,0.2538811730978474
0.49,0.2627873065156978
0.5,0.2716943160585255
0.51,0.2806021884940555
0.52,0.2895109108745396
0.53,0.2984204705259509
0.54,0.30733085504438207
0.55,0.31624205228524144
0.56,0.32515405035965067
0.57,0.3340668376236401
0.58,0.3429804026709454
0.59,0.35189473432940677
0.6,0.36080982166096787
0.61,0.369725653936465
0.62,0.3786422206536358
0.63,0.3875595115083052
0.64,0.39647751641599605
0.65,0.4053962254723111
0.66,0.4143156289817457
0.67,0.42323571742887517
0.68,0.43215648148555824
0.69,0.4410779120001318
0.7,0.4500000000010126
0.71,0.4589227366786894
0.72,0.4678461134001294
0.73,0.4767701216871684
0.74,0.4856947532165113
0.75,0.4946199998305362
0.76,0.5035458535120838
0.77,0.5124723063988631
0.78,0.5213993507582415
0.79,0.5303269790160557
0.8,0.5392551837169963
0.81,0.54818395755702
0.82,0.557113293343734
0.83,0.5660431840252071
0.84,0.574973622671963
0.85,0.5839046024697762
0.86,0.5928361167268754
0.87,0.601768158873945
0.88,0.6107007224425121
0.89,0.6196338010829583
0.9,0.6285673885537119
0.91,0.6375014787140475
0.92,0.6464360655348871
0.93,0.655371143084398
0.94,0.66430670552799
0.95,0.6732427471283152
0.96,0.6821792622452696
0.97,0.691116245332391
0.98,0.7000536909296552
0.99,0.7089915936706795
