lambda,f0,f1,f2
0.8200000000000001,0.02905614019528608,0.07992835976032749,0.8910155000443766
0.8300000000000001,0.02880380540944251,0.07506498543208587,0.896131209158801
0.8400000000000001,0.028554835836361515,0.07025116692178435,0.9011939972417555
0.85,0.028309199921289475,0.06548714975552546,0.9062036503233987
0.86,0.02806686468636107,0.06077311331306183,0.9111600220005507
0.87,0.027827795875173096,0.05610917489190303,0.9160630292337896
0.88,0.027591958090524463,0.05149539365301452,0.9209126482565854
0.89,0.027359314925269263,0.04693177443835818,0.9257089106362738
0.9,0.027129829086229063,0.04241827145249208,0.9304518994614923
0.91,0.026903462511225266,0.03795479180268949,0.9351417456861015
0.92,0.026680176479306206,0.0335411988936729,0.939778624626291
0.93,0.026459931714291254,0.029177315674657263,0.944362752610387
0.9400000000000001,0.026242688481789116,0.024862927737766768,0.9488943837793601
0.9500000000000001,0.026028406679879997,0.020597786268075707,0.9533738070481669
0.9600000000000001,0.02581704592366466,0.016381610846508708,0.9578013432265631
0.97,0.02560856562389534,0.012214092107691725,0.9621773422667342
0.98,0.02540292505993918,0.008094894255591624,0.9665021806795497
0.99,0.025200083447308366,0.0040236574403234426,0.970776259111617
