pi2,lambda
0.0,0.2757944182607579
0.0,0.2746715370199541
0.0,0.27354521631331474
0.0,0.27241544047748545
0.0,0.2712821937662757
0.01,0.2701454603218447
0.01,0.2690052242071168
0.01,0.26786146937696864
0.01,0.2667141796998379
0.01,0.26556333893251327
0.02,0.2538559779930596
0.03,0.24177489177585743
0.04,0.22930210466778994
0.05,0.2164184803360107
0.06,0.2031036271859685
0.07,0.18933579455251962
0.08,0.17509175842479194
0.09,0.16034669555949477
0.1,0.1450740445168221
0.11,0.12924535207026286
0.12,0.11283010313909475
0.13,0.09579553214383117
0.14,0.07810641343637736
0.15,0.05972482801725894
0.16,0.04060990338131974
0.17,0.020717522825462065
0.17099999999999999,0.018683721580870144
0.172,0.016641622399804795
0.173,0.014591175133601282
0.174,0.012532329226614182
0.175,0.01046503372342058
0.176,0.008389237261616871
0.177,0.006304888064615561
0.178,0.004211933934442073
0.179,0.002110322258937946
0.18,
0.19,
0.2,
0.21,
0.22,
0.23,
0.24,
0.25,
0.26,
0.27,
0.28,
0.29,
0.3,
0.31,
0.32,
0.33,
0.34,
0.35,
0.36,
0.37,
0.38,
0.39,
0.4,
0.41,
0.42,
0.43,
0.44,
0.45,
0.46,
0.47,
0.48,
0.49,
0.5,
