pi2,lambda
0.0,0.8969157415048884
0.0,0.8966671693007318
0.0,0.8964173952609902
0.0,0.8961664106661931
0.0,0.8959142066816176
0.01,0.8956607744401276
0.01,0.895406104890904
0.01,0.8951501889795274
0.01,0.8948930175363261
0.01,0.8946345812943868
0.02,0.8919785497233045
0.03,0.8891851327373811
0.04,0.8862433862441169
0.05,0.8831411718751841
0.06,0.8798649894760563
0.07,0.8763997805523437
0.08,0.8727286967410003
0.09,0.8688328256385985
0.1,0.8646908646909442
0.11,0.8602787311867239
0.12,0.8555690933077039
0.13,0.8505308029128987
0.14,0.8451282051264477
0.15,0.8393202924336535
0.16,0.8330596606458583
0.17,0.8262912105780212
0.18,0.8189505198846535
0.19,0.8109617830856444
0.2,0.8022351797878158
0.21,0.7926634768751832
0.22,0.7821175911048592
0.23,0.7704407206688161
0.24,0.757440476189848
0.25,0.7428781667208256
0.26,0.7264539618662547
0.27,0.7077859483867389
0.28,0.6863799283169104
0.29,0.661584792020198
0.3,0.6325247079956188
0.31,0.5979926907754245
0.32,0.5562770562772767
0.33,0.5048652372354081
0.34,0.43990929705352205
0.35,0.3551912568310245
0.36,0.2399267399264904
0.37,0.07345884090119642
0.371,0.05261146149125857
0.372,0.03077735948590359
0.373,0.007881803581927485
0.374,
0.375,
0.376,
0.377,
0.378,
0.379,
0.38,
0.39,
0.4,
0.41,
0.42,
0.43,
0.44,
0.45,
0.46,
0.47,
0.48,
0.49,
0.5,
