pi2,lambda
0.0,0.5918008026288631
0.0,0.5912305428827932
0.0,0.590658692054723
0.0,0.5900852434997027
0.0,0.5895101905223592
0.01,0.5889335263985075
0.01,0.5883552443679467
0.01,0.5877753376236541
0.01,0.5871937993297947
0.01,0.5866106226037128
0.02,0.5806872006553375
0.03,0.5745920745914881
0.04,0.5683176891290103
0.05,0.5618560402075039
0.06,0.5551986412639507
0.07,0.5483364863739478
0.08,0.5412600100110446
0.09,0.533959042995583
0.1,0.5264227642260683
0.11,0.5186396477284597
0.12,0.5105974044291207
0.13,0.502282918132793
0.14,0.49368217490964705
0.15,0.4847801851566788
0.16,0.4755608974366573
0.17,0.4660071029925307
0.18,0.45610032986401694
0.19,0.44582072512612064
0.2,0.4351469237837254
0.21,0.4240559024674391
0.22,0.41252281584536427
0.23,0.40052081333772416
0.24,0.3880208333322997
0.25,0.3749913715727997
0.26,0.36139821992407967
0.27,0.3472041709617861
0.28,0.33236868309568096
0.29,0.31684749995985967
0.3,0.3005922165821419
0.31,0.2835497835483326
0.32,0.26566193853303616
0.33,0.2468645525338015
0.34,0.22708687555582444
0.35,0.20625066327100705
0.36,0.1842691622098081
0.37,0.1610459261353436
0.38,0.13647342994999614
0.39,0.11043143977737274
0.4,0.08278508772034626
0.41,0.053382587280359446
0.42,0.022052508895432737
0.421,0.018806220531698732
0.422,0.015538527033027482
0.423,0.012249217648250798
0.424,0.008938078878180461
0.425,0.005604894414381008
0.426,0.002249445103153753
0.427,
0.428,
0.429,
0.43,
0.44,
0.45,
0.46,
0.47,
0.48,
0.49,
0.5,
