pi2,lambda
0.0,0.05150496416569779
0.0,0.04889469181775061
0.0,0.04627360096506158
0.0,0.04364163157977988
0.0,0.040998723223472346
0.01,0.02761795166692888
0.01,0.03300375354762374
0.01,0.030316476394295164
0.01,0.038344815029115596
0.01,0.03567984570829912
0.011,0.024908116341143635
0.012,0.02218690694595993
0.013,0.01945425957100318
0.013999999999999999,0.016710109848495726
0.015,0.01395439296046003
0.016,0.011187043624312273
0.017,0.00840799610366717
0.018,0.00561718419032996
0.019,0.002814541207898014
0.02,
0.03,
0.04,
0.05,
0.06,
0.07,
0.08,
0.09,
0.1,
0.11,
0.12,
0.13,
0.14,
0.15,
0.16,
0.17,
0.18,
0.19,
0.2,
0.21,
0.22,
0.23,
0.24,
0.25,
0.26,
0.27,
0.28,
0.29,
0.3,
0.31,
0.32,
0.33,
0.34,
0.35,
0.36,
0.37,
0.38,
0.39,
0.4,
0.41,
0.42,
0.43,
0.44,
0.45,
0.46,
0.47,
0.48,
0.49,
0.5,
