pi2,lambda
0.0,0.2805459859807644
0.0,0.27910933229174834
0.0,0.27766674539333774
0.0,0.2762181872238342
0.0,0.2747636193937937
0.01,0.2733030031644172
0.01,0.27183629945475385
0.01,0.27036346883809903
0.01,0.26888447153119
0.01,0.2673992673978075
0.02,0.25219675695218174
0.03,0.23632659829127473
0.04,0.2197420634914726
0.05,0.20239178473956884
0.06,0.18421914220139246
0.07,0.16516154926647506
0.08,0.14514961390131298
0.09,0.12410614968989439
0.1,0.10194500335474818
0.11,0.07856965659099392
0.12,0.05387154861799726
0.13,0.027728050283523445
0.131,0.025029004606468695
0.132,0.02231398037774209
0.133,0.019582826539077593
0.134,0.016835390015313704
0.135,0.014071515685580701
0.136,0.011291046350886205
0.137,0.008493822694497635
0.138,0.0056796832351213794
0.139,0.002848464301691645
0.14,
0.15,
0.16,
0.17,
0.18,
0.19,
0.2,
0.21,
0.22,
0.23,
0.24,
0.25,
0.26,
0.27,
0.28,
0.29,
0.3,
0.31,
0.32,
0.33,
0.34,
0.35,
0.36,
0.37,
0.38,
0.39,
0.4,
0.41,
0.42,
0.43,
0.44,
0.45,
0.46,
0.47,
0.48,
0.49,
0.5,
