pi2,lambda
0.0,0.08397754950594796
0.0,0.08200879003145303
0.0,0.0800311599158183
0.0,0.07804459691260798
0.0,0.07604903817391916
0.01,0.06797556754523765
0.01,0.07000774993589946
0.01,0.06593406593427827
0.01,0.07404442024678032
0.01,0.07203067906234656
0.02,0.04499151103603648
0.03,0.023039432874258962
0.031,0.02078577435861248
0.032,0.01852116704677807
0.033,0.01624552787867915
0.034,0.013958772926253802
0.035,0.011660817389853122
0.036,0.009351575576631658
0.037,0.00703096089694581
0.038,0.004698885849947415
0.039,0.0023552620055757715
0.04,
0.05,
0.06,
0.07,
0.08,
0.09,
0.1,
0.11,
0.12,
0.13,
0.14,
0.15,
0.16,
0.17,
0.18,
0.19,
0.2,
0.21,
0.22,
0.23,
0.24,
0.25,
0.26,
0.27,
0.28,
0.29,
0.3,
0.31,
0.32,
0.33,
0.34,
0.35,
0.36,
0.37,
0.38,
0.39,
0.4,
0.41,
0.42,
0.43,
0.44,
0.45,
0.46,
0.47,
0.48,
0.49,
0.5,
