pi1,pi2
0.001,0.00022041350296302266
0.002,0.0007176660925064948
0.003,0.0013732555456032484
0.004,0.0021344108372560286
0.005,0.002972195442381295
0.006,0.0038687269428387436
0.007,0.004812049477729239
0.008,0.005793708930839513
0.009,0.006807470685757937
0.01,0.007848583848007806
0.02,0.01920467436669992
0.03,0.03148454859073757
0.04,0.04422605389727263
0.05,0.05724729963506723
0.06,0.07045619848168476
0.07,0.08379930887002435
0.08,0.09724278445636735
0.09,0.1107638346498693
0.1,0.1243463976623034
0.11,0.13797874644955938
0.12,0.15165207303471873
0.13,0.1653596064476424
0.14,0.17909603946925967
0.15,0.1928571428570941
0.16,0.20663949802017798
0.17,0.2204403070599153
0.18,0.2342572548936679
0.19,0.24808840720344788
0.2,0.26193213369304474
0.21,0.27578704950081534
0.22,0.2896519698555511
0.23,0.30352587459712693
0.24,0.3174078800804267
0.25,0.3312972167517879
0.26,0.34519321102935774
0.27,0.35909527059055973
0.28,0.37300287233194895
0.29,0.38691555239998676
0.3,0.4008328979469787
0.31,0.4147545402232097
0.32,0.4286801487891727
0.33,0.4426094265885823
0.34,0.4565421058317467
0.35,0.47047794441197677
0.36,0.48441672288744575
0.37,0.4983582418592256
0.38,0.512302319723889
0.39,0.5262487906998333
0.4,0.540197503152536
0.41,0.554148318074682
0.42,0.5681011078147974
0.43,0.5820557549211364
0.44,0.5960121511404367
0.45,0.6099701965211234
0.46,0.6239297986389614
0.47,0.6378908718875446
0.48,0.6518533368660202
0.49,0.6658171198136409
0.5,0.6797821521271481
0.51,0.6937483698997695
0.52,0.7077157135394473
0.53,0.7216841274014766
0.54,0.7356535594643611
0.55,0.7496239610416856
0.56,0.7635952865191982
0.57,0.7775674931063012
0.58,0.7915405406271576
0.59,0.8055143913298062
0.6,0.8194890096916762
0.61,0.8334643622575141
0.62,0.8474404175097268
0.63,0.8614171456991067
0.64,0.8753945187547909
0.65,0.8893725101437994
0.66,0.9033510947665885
0.67,0.9173302488814177
0.68,0.9313099499963012
0.69,0.9452901767861709
0.7,0.9592709090316502
0.71,0.973252127536216
0.72,0.9872338140685744
0.73,
0.74,
0.75,
0.76,
0.77,
0.78,
0.79,
0.8,
0.81,
0.82,
0.83,
0.84,
0.85,
0.86,
0.87,
0.88,
0.89,
0.9,
0.91,
0.92,
0.93,
0.94,
0.95,
0.96,
0.97,
0.98,
0.99,
