pi2,lambda
0.0,0.5596864323558215
0.0,0.5587629307349142
0.0,0.5578355310997877
0.0,0.5569042085994083
0.0,0.55596893817385
0.01,0.5550296945362866
0.01,0.5540864521945998
0.01,0.5531391854333728
0.01,0.5521878683138894
0.01,0.5512324746669311
0.02,0.541448407750465
0.03,0.5312261413945563
0.04,0.5205353868717788
0.05,0.5093429776978542
0.06,0.4976125165092757
0.07,0.48530396806100945
0.08,0.47237318840746273
0.09,0.4587713780825099
0.1,0.44444444444358877
0.11,0.4293322546928619
0.12,0.4133677567413012
0.13,0.3964759393045986
0.14,0.37857259513206937
0.15,0.35956284153100343
0.16,0.3393393393399342
0.17,0.3177801343246738
0.18,0.29474602136607797
0.19,0.2700772998155078
0.2,0.24358974359005303
0.21,0.21506954637513004
0.22,0.18426691153816696
0.23,0.15088782293945163
0.24,0.11458333333365348
0.25,0.07493540051623193
0.26,0.03143781784707211
0.261,0.026853602441250363
0.262,0.02222411484572413
0.263,0.01754864684206239
0.264,0.012826474462041581
0.265,0.008056857519437792
0.266,0.0032390391022012674
0.267,
0.268,
0.269,
0.27,
0.28,
0.29,
0.3,
0.31,
0.32,
0.33,
0.34,
0.35,
0.36,
0.37,
0.38,
0.39,
0.4,
0.41,
0.42,
0.43,
0.44,
0.45,
0.46,
0.47,
0.48,
0.49,
0.5,
