pi,lambda
0.01,0.024674996844397095
0.02,0.03508771929678393
0.03,0.045280454658479574
0.04,0.055260101471861965
0.05,0.06503327283818038
0.06,0.07460631100042996
0.07,0.08398530109065507
0.08,0.09317608402367375
0.09,0.10218426862006016
0.1,0.11101524302681501
0.11,0.11967418546453695
0.12,0.12816607435151747
0.13,0.13649569784437668
0.14,0.14466766284926427
0.15,0.15268640350722626
0.16,0.16055618923297474
0.17,0.168281132278245
0.18,0.17586519490258
0.19,0.18331219615153913
0.2,0.19062581827834937
0.21,0.19780961279099038
0.22,0.2048670062255571
0.23,0.21180130558827673
0.24,0.21861570352380233
0.25,0.22531328320978672
0.26,0.23189702301014786
0.27,0.23836980090503615
0.28,0.24473439867229035
0.29,0.25099350586360314
0.3,0.25714972362581795
0.31,0.26320556827011304
0.32,0.26916347472593527
0.33,0.27502579979324426
0.34,0.28079482525789495
0.35,0.28647276084855094
0.36,0.2920617470567361
0.37,0.2975638578308309
0.38,0.3029811031440128
0.39,0.3083154314361391
0.4,0.3135687319547884
0.41,0.31874283699185163
0.42,0.3238395239976717
0.43,0.32886051763035296
0.44,0.3338074917006252
0.45,0.33868207103026765
0.46,0.343485833227699
0.47,0.3482203103915319
0.48,0.35288699074570007
0.49,0.35748732019534873
0.5,0.3620227038178966
