pi,lambda
0.01,0.04624810836819485
0.02,0.07003526955951468
0.03,0.09266477053224631
0.04,0.114219114220801
0.05,0.13477314582174857
0.06,0.15439492113213762
0.07,0.17314645931250308
0.08,0.19108439769718555
0.09,0.20826056316280422
0.1,0.22472247224629707
0.11,0.24051377009700384
0.12,0.25567461689222504
0.13,0.2702420288618282
0.14,0.2842501800446206
0.15,0.29773066992677255
0.16,0.31071276141747417
0.17,0.32322359288587293
0.18,0.33528836754755814
0.19,0.34693052290898807
0.2,0.35817188276217343
0.21,0.3690327936888804
0.22,0.37953224799401103
0.23,0.38968799451960123
0.24,0.39951663878007826
0.25,0.40903373356048456
0.26,0.4182538610473413
0.27,0.4271907073673415
0.28,0.43585713038024915
0.29,0.4442652214139073
0.3,0.4524263615176132
0.31,0.46035127289295236
0.32,0.4680500658766583
0.33,0.4755322819617119
0.34,0.48280693327086716
0.35,0.4898825387419164
0.36,0.4967671574352782
0.37,0.5034684191295811
0.38,0.5099935525473942
0.39,0.5163494113479687
0.4,0.522542498153504
0.41,0.5285789867349978
0.42,0.534464742548564
0.43,0.5402053417302659
0.44,0.5458060887295441
0.45,0.5512720326460712
0.46,0.5566079824284981
0.47,0.5618185209675126
0.48,0.5669080182344709
0.49,0.5718806435052256
0.5,0.5767403767411792
