pi2,lambda
0.0,0.6876605764358086
0.0,0.6871474288048697
0.0,0.6866325918403094
0.0,0.686116057161207
0.0,0.6855978163614302
0.01,0.68507786097362
0.01,0.6845561824691895
0.01,0.6840327722691303
0.01,0.6835076217296043
0.01,0.6829807221563516
0.02,0.6776135741671117
0.03,0.672061509708047
0.04,0.6663148017822177
0.05,0.6603630287846954
0.06,0.6541950113377198
0.07,0.6477987421387529
0.08,0.6411613078273901
0.09,0.6342688018590781
0.1,0.627106227107073
0.11,0.619657386762802
0.12,0.6119047619031079
0.13,0.6038293736930689
0.14,0.5954106280202213
0.15,0.5866261398193632
0.16,0.5774515339725607
0.17,0.5678602190242814
0.18,0.5578231292528819
0.19,0.5473084298941341
0.2,0.5362811791383599
0.21,0.5247029393378185
0.22,0.5125313283194998
0.23,0.49971949972120583
0.24,0.486215538848529
0.25,0.47196175767624865
0.26,0.4568938686595244
0.27,0.4409400123669907
0.28,0.4240196078431461
0.29,0.40604198668751934
0.3,0.3869047619048804
0.31,0.366491869272857
0.32,0.34467120181530064
0.33,0.3212917350851857
0.34,0.29618001046608416
0.35,0.2691358024701552
0.36,0.2399267399264904
0.37,0.20828157349766027
0.38,0.1738816738819328
0.39,0.13635019224998163
0.4,0.09523809523917758
0.41,0.05000596729829104
0.411,0.045232127938240954
0.412,0.04040994466391855
0.413,0.03553867748358623
0.414,0.03061757117434419
0.415,0.025645854914767268
0.416,0.020622741849111448
0.417,0.015547428694739606
0.418,0.010419095284718422
0.419,0.005236904139228084
0.42,
0.43,
0.44,
0.45,
0.46,
0.47,
0.48,
0.49,
0.5,
