pi1,pi2
0.01,
0.02,
0.03,
0.04,
0.05,
0.06,
0.07,
0.08,
0.09,
0.1,
0.11,
0.12,
0.13,
0.14,
0.15,
0.16,
0.17,
0.18,
0.19,
0.2,
0.21,
0.22,
0.23,
0.24,
0.25,
0.26,
0.27,
0.28,
0.29,
0.3,
0.31,
0.32,
0.33,
0.34,
0.35,
0.36,
0.37,
0.38,
0.39,
0.4,
0.41,
0.42,
0.43,
0.44,
0.45,
0.46,
0.47,
0.48,
0.49,
0.5,
0.501,
0.502,
0.503,
0.504,
0.505,
0.506,
0.507,
0.508,2.3088224341880562e-05
0.509,0.0003867845182760046
0.51,0.0007505867892612526
0.52,0.004394336261250935
0.53,0.008048181530318577
0.54,0.011711690851180212
0.55,0.01538445721793554
0.56,0.019066096566870007
0.57,0.02275624617374325
0.58,0.02645456315912549
0.59,0.030160723126993125
0.6,0.03387441892938023
0.61,0.037595359499460544
0.62,0.041323268803482034
0.63,0.04505788487193691
0.64,0.04879895890636495
0.65,0.05254625444018102
0.66,0.05629954657153433
0.67,0.060058621271801664
0.68,0.06382327471568974
0.69,0.06759331266536184
0.7,0.07136854993019809
0.71,0.07514880980854742
0.72,0.07893392363032453
0.73,0.08272373028159899
0.74,0.08651807578680956
0.75,0.0903168129125883
0.76,0.09411980080399922
0.77,0.09792690462797984
0.78,0.10173799526360376
0.79,0.10555294899234309
0.8,0.10937164720994053
0.81,0.11319397618150072
0.82,0.11701982677137017
0.83,0.12084909421983815
0.84,0.12468167792343936
0.85,0.1285174812296625
0.86,0.13235641124246414
0.87,0.13619837863138373
0.88,0.14004329748027677
0.89,0.1438910851036329
0.9,0.14774166190251228
0.91,0.15159495123128613
0.92,0.1554508792427682
0.93,0.15930937476936194
0.94,0.16317036920420755
0.95,0.16703379638232954
0.96,0.17089959247258843
0.97,0.17476769587323468
0.98,0.1786380471182668
0.99,0.18251058878739168
