pi2,lambda
0.0,0.10014889622471711
0.0,0.09831629106288524
0.0,0.0964758161082649
0.0,0.0946274182516769
0.0,0.09277104388331993
0.01,0.0909066389035751
0.01,0.08903414869419328
0.01,0.08715351812189669
0.01,0.08526469154558208
0.01,0.0833676127803048
0.02,0.0639302059492465
0.03,0.043601612660794396
0.04,0.022315855179306454
0.041,0.02013189266131601
0.042,0.01793755865464753
0.043000000000000003,0.015732775325144624
0.044000000000000004,0.013517464028291116
0.045,0.011291545305609456
0.046,0.00905493885224633
0.047,0.00680756353137904
0.048,0.004549337338199534
0.049,0.002280177407117592
0.05,
0.06,
0.07,
0.08,
0.09,
0.1,
0.11,
0.12,
0.13,
0.14,
0.15,
0.16,
0.17,
0.18,
0.19,
0.2,
0.21,
0.22,
0.23,
0.24,
0.25,
0.26,
0.27,
0.28,
0.29,
0.3,
0.31,
0.32,
0.33,
0.34,
0.35,
0.36,
0.37,
0.38,
0.39,
0.4,
0.41,
0.42,
0.43,
0.44,
0.45,
0.46,
0.47,
0.48,
0.49,
0.5,
