pi2,lambda
0.0,0.34922800549060895
0.0,0.3479356097948847
0.0,0.3466382490752156
0.0,0.34533589536518555
0.0,0.3440285205002899
0.01,0.3427160960963269
0.01,0.3413985935746086
0.01,0.3400759841259438
0.01,0.3387482387394531
0.01,0.33741532818816017
0.02,0.3237955490355033
0.03,0.30962541488878165
0.04,0.2948717948727264
0.05,0.2794988996097613
0.06,0.26346801346632664
0.07,0.24673719416871615
0.08,0.22926093514236437
0.09,0.21098978513616953
0.1,0.19186991869939607
0.11,0.17184265010266792
0.12,0.15084388185752515
0.13,0.1288034774655407
0.14,0.10564454614795803
0.15,0.0812826249081479
0.16,0.05562474055637121
0.17,0.028568330894011812
0.17099999999999999,0.0257815065090361
0.172,0.02297945325242746
0.173,0.02016205012126368
0.174,0.017329174862867645
0.175,0.01448070394239304
0.176,0.011616512553629046
0.177,0.008736474572179645
0.178,0.005840462562666753
0.179,0.0029283477499174623
0.18,
0.19,
0.2,
0.21,
0.22,
0.23,
0.24,
0.25,
0.26,
0.27,
0.28,
0.29,
0.3,
0.31,
0.32,
0.33,
0.34,
0.35,
0.36,
0.37,
0.38,
0.39,
0.4,
0.41,
0.42,
0.43,
0.44,
0.45,
0.46,
0.47,
0.48,
0.49,
0.5,
