pi1,pi2
0.01,
0.02,
0.03,
0.04,
0.05,
0.06,
0.07,
0.08,
0.09,
0.1,
0.11,
0.12,
0.13,
0.14,
0.15,
0.16,
0.17,
0.18,
0.19,
0.2,
0.21,
0.22,
0.23,
0.24,
0.25,
0.26,
0.27,
0.28,
0.29,
0.291,
0.292,
0.293,
0.294,
0.295,
0.296,
0.297,0.001251032923857766
0.298,0.003028830464495309
0.299,0.004806644464440366
0.3,0.006584474873270555
0.31,0.024363676948255746
0.32,0.04214449790958544
0.33,0.059926918272608945
0.34,0.07771091891283545
0.35,0.09549648101911329
0.36,0.11328358611163793
0.37,0.1310722160131391
0.38,0.14886235285968566
0.39,0.16665397908627916
0.4,0.18444707741965077
0.41,0.20224163087826114
0.42,0.22003762275069075
0.43,0.2378350366064449
0.44,0.2556338562887504
0.45,0.2734340658893443
0.46,0.2912356497700839
0.47,0.3090385925377348
0.48,0.32684287904397147
0.49,0.34464849438177575
0.5,0.36245542388903795
0.51,0.3802636531197444
0.52,0.39807316786918856
0.53,0.4158839541379551
0.54,0.43369599815713095
0.55,0.45150928636669574
0.56,0.4693238054083188
0.57,0.48713954213256194
0.58,0.5049564835988805
0.59,0.5227746170432063
0.6,0.5405939299067647
0.61,0.5584144098216643
0.62,0.5762360445892896
0.63,0.5940588222091119
0.64,0.6118827308498788
0.65,0.6297077588496127
0.66,0.6475338947228146
0.67,0.66536112715326
0.68,0.6831894449867968
0.69,0.7010188372241415
0.7,0.7188492930316848
0.71,0.7366808017270833
0.72,0.7545133527828635
0.73,0.7723469358156152
0.74,0.7901815405931958
0.75,0.8080171570203233
0.76,0.825853775156584
0.77,0.8436913851840192
0.78,0.861529977432336
0.79,0.8793695423536941
0.8,0.8972100705443203
0.81,0.9150515527156894
0.82,0.9328939797197402
0.83,0.9507373425164591
0.84,0.9685816322026934
0.85,0.9864268399869405
0.86,
0.87,
0.88,
0.89,
0.9,
0.91,
0.92,
0.93,
0.94,
0.95,
0.96,
0.97,
0.98,
0.99,
